"StudyID","CiteAuth","CiteYear","OceanBasin","OceanBasinQ","LocatName","LocatLatitude","LocatLongitude","MonthRange","YearEnd","SampleMethod","SampleDepth","stomachs_used","pred_life","pred_life_est","pred_age","pred_age_est","pred_flmean","pred_flmean_se","pred_flmean_est","pred_flmin","pred_flmax","pred_flest","est_note","est_ref","prey_class","prey_order","prey_family","prey_sp","prey_age_reported_1","prey_age_reported_2","prey_age_use","Include","FO","pFOuse","N","pN","Total Mass (g)","pM","maxl_use","maxl_type","gape_lmax","gape_height_limit","lat_cat","pred_life_adjust","rep_ID"
"Bouxin&Legendre","Legendre & Bouxin","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Aug",1929,"troll","NA","6","juvenile, adult","Estimated: by meta-analysis","1–8 yo","Estimated: by meta-analysis",72.9,NA,"Estimated: by meta-analysis",40,110,"Estimated: by meta-analysis","Used albacore FL mean and range from ICCAT (2020) date, and corroborated with Goni et al. (2011) from similar sampling location but 70 years later, and compared to N Atlantic growth curves Santiago & Arrizabalaga (2005) and population age structure to estiamte age range and mean of that age range.","ICCAT (2020); Goni et al. (2011); Santiago & Arrizabalaga (2005)","Malacostraca","Euphausiacea","Euphausiidae","Nematoscelis megalops","adult",NA,"3","Yes",2,33.3333333333333,0,0,0,0,0,"NO",7.75767,6.39634,"temperate","mixed","Bouxin&Legendre_6"
"Bouxin&Legendre","Legendre & Bouxin","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Aug",1929,"troll","NA","6","juvenile, adult","Estimated: by meta-analysis","1–8 yo","Estimated: by meta-analysis",72.9,NA,"Estimated: by meta-analysis",40,110,"Estimated: by meta-analysis","Used albacore FL mean and range from ICCAT (2020) date, and corroborated with Goni et al. (2011) from similar sampling location but 70 years later, and compared to N Atlantic growth curves Santiago & Arrizabalaga (2005) and population age structure to estiamte age range and mean of that age range.","ICCAT (2020); Goni et al. (2011); Santiago & Arrizabalaga (2005)","Malacostraca","Decapoda","Scyllaridae","Scyllarus arctus","larva",NA,"1","Yes",1,16.6666666666667,0,0,0,0,0,"NO",7.75767,6.39634,"temperate","mixed","Bouxin&Legendre_6"
"Bouxin&Legendre","Legendre & Bouxin","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Aug",1929,"troll","NA","6","juvenile, adult","Estimated: by meta-analysis","1–8 yo","Estimated: by meta-analysis",72.9,NA,"Estimated: by meta-analysis",40,110,"Estimated: by meta-analysis","Used albacore FL mean and range from ICCAT (2020) date, and corroborated with Goni et al. (2011) from similar sampling location but 70 years later, and compared to N Atlantic growth curves Santiago & Arrizabalaga (2005) and population age structure to estiamte age range and mean of that age range.","ICCAT (2020); Goni et al. (2011); Santiago & Arrizabalaga (2005)","Cephalopoda","Decapodiformes","Chtenopterygidae","Chtenopteryx sicula","none",NA,"0","Yes",2,33.3333333333333,0,0,0,0,0,"NO",7.75767,6.39634,"temperate","mixed","Bouxin&Legendre_6"
"Bouxin&Legendre","Legendre & Bouxin","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Aug",1929,"troll","NA","6","juvenile, adult","Estimated: by meta-analysis","1–8 yo","Estimated: by meta-analysis",72.9,NA,"Estimated: by meta-analysis",40,110,"Estimated: by meta-analysis","Used albacore FL mean and range from ICCAT (2020) date, and corroborated with Goni et al. (2011) from similar sampling location but 70 years later, and compared to N Atlantic growth curves Santiago & Arrizabalaga (2005) and population age structure to estiamte age range and mean of that age range.","ICCAT (2020); Goni et al. (2011); Santiago & Arrizabalaga (2005)","Actinopterygii","Stomiiformes","Sternoptychidae","Maurolicus muelleri","none",NA,"0","Yes",3,50,0,0,0,0,0,"NO",7.75767,6.39634,"temperate","mixed","Bouxin&Legendre_6"
"Bouxin&Legendre","Legendre & Bouxin","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Aug",1929,"troll","NA","6","juvenile, adult","Estimated: by meta-analysis","1–8 yo","Estimated: by meta-analysis",72.9,NA,"Estimated: by meta-analysis",40,110,"Estimated: by meta-analysis","Used albacore FL mean and range from ICCAT (2020) date, and corroborated with Goni et al. (2011) from similar sampling location but 70 years later, and compared to N Atlantic growth curves Santiago & Arrizabalaga (2005) and population age structure to estiamte age range and mean of that age range.","ICCAT (2020); Goni et al. (2011); Santiago & Arrizabalaga (2005)","Malacostraca","Amphipoda","Phrosinidae","Phrosina semilunata","none",NA,"0","Yes",1,16.6666666666667,0,0,0,0,0,"NO",7.75767,6.39634,"temperate","mixed","Bouxin&Legendre_6"
"Bouxin&Legendre","Legendre & Bouxin","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Aug",1929,"troll","NA","6","juvenile, adult","Estimated: by meta-analysis","1–8 yo","Estimated: by meta-analysis",72.9,NA,"Estimated: by meta-analysis",40,110,"Estimated: by meta-analysis","Used albacore FL mean and range from ICCAT (2020) date, and corroborated with Goni et al. (2011) from similar sampling location but 70 years later, and compared to N Atlantic growth curves Santiago & Arrizabalaga (2005) and population age structure to estiamte age range and mean of that age range.","ICCAT (2020); Goni et al. (2011); Santiago & Arrizabalaga (2005)","Actinopterygii","Stomiiformes","Sternoptychidae","Sternoptyx diaphana","none",NA,"0","Yes",2,33.3333333333333,0,0,0,0,0,"NO",7.75767,6.39634,"temperate","mixed","Bouxin&Legendre_6"
"Bouxin&Legendre","Legendre & Bouxin","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Aug",1929,"troll","NA","6","juvenile, adult","Estimated: by meta-analysis","1–8 yo","Estimated: by meta-analysis",72.9,NA,"Estimated: by meta-analysis",40,110,"Estimated: by meta-analysis","Used albacore FL mean and range from ICCAT (2020) date, and corroborated with Goni et al. (2011) from similar sampling location but 70 years later, and compared to N Atlantic growth curves Santiago & Arrizabalaga (2005) and population age structure to estiamte age range and mean of that age range.","ICCAT (2020); Goni et al. (2011); Santiago & Arrizabalaga (2005)","Gastropoda","Littorinimorpha","Carinariidae","Carinaria lamarckii","none",NA,"0","Yes",2,33.3333333333333,0,0,0,0,0,"NO",7.75767,6.39634,"temperate","mixed","Bouxin&Legendre_6"
"Bouxin&Legendre","Legendre & Bouxin","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Aug",1929,"troll","NA","6","juvenile, adult","Estimated: by meta-analysis","1–8 yo","Estimated: by meta-analysis",72.9,NA,"Estimated: by meta-analysis",40,110,"Estimated: by meta-analysis","Used albacore FL mean and range from ICCAT (2020) date, and corroborated with Goni et al. (2011) from similar sampling location but 70 years later, and compared to N Atlantic growth curves Santiago & Arrizabalaga (2005) and population age structure to estiamte age range and mean of that age range.","ICCAT (2020); Goni et al. (2011); Santiago & Arrizabalaga (2005)","Cephalopoda","Oegopsida","Brachioteuthidae","Brachioteuthis riisei","none",NA,"0","Yes",1,16.6666666666667,0,0,0,0,0,"NO",7.75767,6.39634,"temperate","mixed","Bouxin&Legendre_6"
"Bouxin&Legendre","Legendre & Bouxin","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Aug",1929,"troll","NA","6","juvenile, adult","Estimated: by meta-analysis","1–8 yo","Estimated: by meta-analysis",72.9,NA,"Estimated: by meta-analysis",40,110,"Estimated: by meta-analysis","Used albacore FL mean and range from ICCAT (2020) date, and corroborated with Goni et al. (2011) from similar sampling location but 70 years later, and compared to N Atlantic growth curves Santiago & Arrizabalaga (2005) and population age structure to estiamte age range and mean of that age range.","ICCAT (2020); Goni et al. (2011); Santiago & Arrizabalaga (2005)","Actinopterygii","Clupeiformes","Engraulidae","Engraulis encrasicolus","none",NA,"0","Yes",1,16.6666666666667,0,0,0,0,0,"NO",7.75767,6.39634,"temperate","mixed","Bouxin&Legendre_6"
"Bouxin&Legendre","Legendre & Bouxin","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Aug",1929,"troll","NA","6","juvenile, adult","Estimated: by meta-analysis","1–8 yo","Estimated: by meta-analysis",72.9,NA,"Estimated: by meta-analysis",40,110,"Estimated: by meta-analysis","Used albacore FL mean and range from ICCAT (2020) date, and corroborated with Goni et al. (2011) from similar sampling location but 70 years later, and compared to N Atlantic growth curves Santiago & Arrizabalaga (2005) and population age structure to estiamte age range and mean of that age range.","ICCAT (2020); Goni et al. (2011); Santiago & Arrizabalaga (2005)","Cephalopoda","Octopoda","Octopodidae","Octopus vulgaris","none",NA,"0","Yes",1,16.6666666666667,0,0,0,0,0,"NO",7.75767,6.39634,"temperate","mixed","Bouxin&Legendre_6"
"Bouxin&Legendre","Legendre & Bouxin","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Aug",1929,"troll","NA","6","juvenile, adult","Estimated: by meta-analysis","1–8 yo","Estimated: by meta-analysis",72.9,NA,"Estimated: by meta-analysis",40,110,"Estimated: by meta-analysis","Used albacore FL mean and range from ICCAT (2020) date, and corroborated with Goni et al. (2011) from similar sampling location but 70 years later, and compared to N Atlantic growth curves Santiago & Arrizabalaga (2005) and population age structure to estiamte age range and mean of that age range.","ICCAT (2020); Goni et al. (2011); Santiago & Arrizabalaga (2005)","Actinopterygii","Aulopiformes","Paralepididae","Lestidiops sphyrenoides","none",NA,"0","Yes",1,16.6666666666667,0,0,0,0,0,"NO",7.75767,6.39634,"temperate","mixed","Bouxin&Legendre_6"
