"prey_sp","life_stage","vert_habitat","horz_habitat","diel_migrant_cat","season_cat","gregarious","prob.clust.num"
"Gonatus_steenstrupi","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","2"
"Helicocranchia_pfefferi","adult","mesopelagic","oceanic","diel (no)","season (no)","non-schooling","1"
"Helicolenus_dactylopterus","juvenile","epipelagic","continental shelf","diel (no)","season (yes)","non-schooling","3"
"Heteroteuthis_dispar","adult","mesopelagic","continental shelf","diel (yes)","season (no)","non-schooling","7"
"Histioteuthis_bonnellii","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling","2"
"Histioteuthis_heteropsis","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling","2"
"Platyscelus_armatus","adult","epipelagic","continental shelf","diel (yes)","season (no)","schooling","7"
"Argonauta_argo","juvenile","epipelagic","oceanic","diel (no)","season (yes)","schooling","3"
"Argonauta_nouryi","juvenile","epipelagic","oceanic","diel (no)","season (yes)","schooling","3"
"Argyropelecus_olfersii","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","2"
"Arnoglossus_imperialis","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling","6"
"Acanthephyra_pelagica","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","2"
"Histioteuthis_reversa","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling","2"
"Belone_belone","juvenile","epipelagic","coastal","diel (no)","season (yes)","schooling","3"
"Benthosema_glaciale","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","2"
"Primno_macropa","adult","epipelagic","oceanic","diel (yes)","season (no)","schooling","5"
"Protomyctophum_crockeri","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","2"
"Doryteuthis_opalescens","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling","6"
"Cololabis_saira","juvenile","epipelagic","oceanic","diel (no)","season (yes)","schooling","3"
"Cubiceps_gracilis","juvenile","epipelagic","oceanic","diel (no)","season (yes)","schooling","3"
"Vampyroteuthis_infernalis","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","non-schooling","2"
"Medialuna_californiensis","juvenile","epipelagic","coastal","diel (no)","season (yes)","schooling","3"
"Sardinops_sagax","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling","5"
"Scaeurgus_unicirrhus","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling","6"
"Hyperia_galba","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling","5"
"Icichthys_lockingtoni","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling","5"
"Idotea_metallica","adult","epipelagic","continental shelf","diel (no)","season (yes)","schooling","3"
"Illex_coindetii","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling","6"
"Maurolicus_muelleri","adult","mesopelagic","continental shelf","diel (yes)","season (yes)","schooling","6"
"Platyscelus_ovoides","adult","epipelagic","continental shelf","diel (yes)","season (no)","schooling","7"
"Platyscelus_serratulus","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling","6"
"Janthina_exigua","adult","epipelagic","oceanic","diel (no)","season (no)","non-schooling","3"
"Berryteuthis_anonychus","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","2"
"Blennius_ocellaris","juvenile","epipelagic","continental shelf","diel (no)","season (yes)","non-schooling","3"
"Teuthowenia_megalops","juvenile","epipelagic","oceanic","diel (yes)","season (no)","non-schooling","5"
"Triphoturus_mexicanus","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","2"
"Lampanyctus_crocodilus","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","2"
"Scopelogadus_bispinosus","adult","mesopelagic","oceanic","diel (yes)","season (no)","non-schooling","2"
"Microstomus_pacificus","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling","6"
"Pleuroncodes_planipes","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling","6"
"Polybius_henslowii","larva","epipelagic","continental shelf","diel (no)","season (no)","schooling","3"
"Ceratoscopelus_townsendi","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling","2"
"Chelophyes_appendiculata","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling","6"
"Streetsia_challengeri","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling","6"
"Stylocheiron_abbreviatum","adult","epipelagic","coastal","diel (no)","season (yes)","schooling","3"
"Capros_aper","juvenile","epipelagic","continental shelf","diel (yes)","season (no)","schooling","7"
"Syngnathus_californiensis","juvenile","demersal","coastal","diel (no)","season (yes)","non-schooling","4"
"Brachioteuthis_riisei","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","2"
"Octopoteuthis_sicula","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","non-schooling","2"
"Tetragonurus_cuvieri","juvenile","epipelagic","oceanic","diel (no)","season (no)","schooling","3"
"Lampanyctus_intricarius","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","2"
"Brama_brama","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling","5"
"Boops_boops","juvenile","demersal","continental shelf","diel (yes)","season (no)","schooling","7"
"Lestidiops_ringens","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","2"
"Myctophum_punctatum","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","2"
"Lestidiops_sphyrenoides","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling","5"
"Themisto_gaudichaudii","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling","5"
"Todarodes_sagittatus","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling","6"
"Meganyctiphanes_norvegica","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling","6"
"Pleuronichthys_decurrens","juvenile","demersal","continental shelf","diel (no)","season (no)","schooling","4"
"Octopus_bimaculatus","juvenile","epipelagic","coastal","diel (no)","season (yes)","schooling","3"
"Octopus_vulgaris","juvenile","epipelagic","coastal","diel (no)","season (yes)","schooling","3"
"Ocythoe_tuberculata","juvenile","epipelagic","oceanic","diel (no)","season (yes)","non-schooling","3"
"Macroramphosus_scolopax","adult","demersal","continental shelf","diel (yes)","season (yes)","schooling","6"
