prey_class,prey_order,prey_family,prey_sp,prey_age_reported_1,life_stage,vert_habitat,horz_habitat,diel_migrant,diel_migrant_cat,refuge,refuge_cat,season_migrant,season_cat,gregarious_primary,l_max,body_shape,b_shape_r,eye_body_r,standard_total,phys_defense,transparent,col_disrupt,silver,countershade,energy_density,percent_protein,percent_lipid,maxFO,maxN,maxM,maxTL,trophic_level,fisheries_status
Malacostraca,Decapoda,Polybiidae,Polybius henslowii,larva,larva,epipelagic,continental shelf,NA,diel_UN,0,refuge_no,0,season_no,schooling,NA,globiform,NA,NA,NA,1,1,0,0,0,4.2,14.1,1.4,51.42857143,0,0,0,NA,none
Actinopterygii,Myctophiformes,Myctophidae,Lampanyctus crocodilus,adult,adult,bathypelagic,oceanic,1,diel_yes,0,refuge_no,1,season_yes,schooling,30,fusiform,6.151361396,0.041781391,0.820516812,0,0,1,1,1,4.1,16.1,1.6,48.57142857,0,0,0,3.22,potential
Malacostraca,Decapoda,Sergestidae,Eusergestes similis,adult,adult,epipelagic,oceanic,1,diel_yes,0,refuge_no,1,season_yes,schooling,5.4,elongated,8.234212732,0.025097075,0.832763026,1,1,0,0,0,NA,NA,NA,45,76.5,0,0,NA,none
Actinopterygii,Stomiiformes,Sternoptychidae,Sternoptyx diaphana,none,adult,mesopelagic,oceanic,0,diel_no,0,refuge_no,0,season_no,solitary,5.5,compressiform,1.63579612,0.121914177,0.737079548,0,0,0,1,0,2.7868,8.605,3.751666667,44.44444444,0.1,0,0,3.44,none
Actinopterygii,Perciformes,Carangidae,Trachurus trachurus,none,juvenile,epipelagic,coastal,1,diel_yes,1,refuge_yes,1,season_yes,schooling,23.9,fusiform,4.892469541,0.063840268,0.821448199,1,0,0,1,1,6.343333333,18.9,3.05,43,28.1,42.4,12,NA,none
Actinopterygii,Syngnathiformes,Syngnathidae,Entelurus aequoreus,none,juvenile,epipelagic,oceanic,NA,diel_UN,0,refuge_no,0,season_no,solitary,NA,eel-like,43.6346062,0.011636577,1,0,0,1,0,0,4.7,14.7,1.9,41,0,35,0,NA,none
Actinopterygii,Perciformes,Carangidae,Trachurus symmetricus,juvenile,juvenile,epipelagic,oceanic,1,diel_yes,1,refuge_yes,1,season_yes,schooling,25,fusiform,5.302194156,0.057764671,0.801525786,1,0,0,1,1,6.4,NA,6.4,40.69767442,13.69548585,27.53780356,0,NA,none
Malacostraca,Amphipoda,Oxyccephalidae,Streetsia challengeri,none,adult,epipelagic,continental shelf,1,diel_yes,0,refuge_no,1,season_yes,schooling,4.9,elongated,9.180111557,0.011796571,1,1,0,0,0,0,NA,NA,NA,40,0.19,0.05,0,NA,none
Malacostraca,Euphausiacea,Euphausiidae,Euphausia pacifica,adult,adult,epipelagic,oceanic,1,diel_yes,0,refuge_no,0,season_no,schooling,2.5,elongated,10.58989048,0.060086742,0.839843473,1,0,0,0,0,NA,11.3078,2.538542105,38.9,43.1,0,0,2.32,minor commercial
Malacostraca,Decapoda,Acanthephyridae,Acanthephyra pelagica,adult,adult,mesopelagic,oceanic,1,diel_yes,0,refuge_no,1,season_yes,schooling,27,elongated,6.237057886,0.02214046,0.800545022,1,0,0,0,0,NA,NA,6.5375,38.88888889,0,0,0,NA,none
Cephalopoda,Oegopsida,Gonatidae,Berryteuthis anonychus,none,juvenile,mesopelagic,oceanic,1,diel_yes,1,refuge_yes,1,season_yes,schooling,10,fusiform,5.41472852,0.053988172,0.606897527,0,0,1,0,0,4.26,10.6,1.35,38.5,9,0,0,NA,potential
Actinopterygii,Myctophiformes,Myctophidae,Lampanyctus intricarius,adult,adult,mesopelagic,oceanic,1,diel_yes,0,refuge_no,1,season_yes,schooling,20,fusiform,5.939283068,0.042906794,0.848327645,0,0,1,1,1,NA,NA,NA,37.03703704,0,0,0,3.4,none
Cephalopoda,Oegopsida,Enoploteuthidae,Abraliopsis felis,none,adult,mesopelagic,oceanic,1,diel_yes,0,refuge_no,NA,season_NA,NA,8,fusiform,5.280578898,0.050754532,0.458302809,0,1,1,0,0,4.4,17.4,NA,36.4,11.3,2.132352045,0,NA,none
Cephalopoda,Oegopsida,Chiroteuthidae,Chiroteuthis veranii,none,juvenile,epipelagic,oceanic,1,diel_yes,0,refuge_no,NA,season_NA,shoaling,NA,elongated,11.66447402,0.05867852,0.271312387,0,0,1,0,0,NA,NA,1.2,36.06,8.69,0,0,NA,none
Gastropoda,Littorinimorpha,Carinariidae,Carinaria lamarckii,none,adult,epipelagic,oceanic,NA,diel_UN,0,refuge_no,NA,season_NA,solitary,11.5,fusiform,4.278722753,0,1,1,1,0,0,0,NA,NA,NA,34.28571429,0,0,0,NA,none
Cephalopoda,Decapodiformes,Chtenopterygidae,Chtenopteryx sicula,none,juvenile,mesopelagic,oceanic,1,diel_yes,0,refuge_no,0,season_no,NA,6,fusiform,4.007703906,0.095367895,0.494758846,0,1,1,0,0,NA,NA,NA,33.33333333,0,0,0,NA,none
Actinopterygii,Perciformes,Anarhichadidae,Anarrhichthys ocellatus,none,larva,epipelagic,continental shelf,NA,diel_UN,0,refuge_no,NA,season_NA,schooling,8.2,eel-like,9.958014727,0.016591182,1,0,1,0,0,0,NA,NA,NA,33.33333333,0,0,0,NA,none
Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma fimbria,none,juvenile,epipelagic,continental shelf,0,diel_no,0,refuge_no,1,season_yes,shoaling,52.8,fusiform,5.494049252,0.025770912,0.849833638,1,0,1,0,1,5.28055,11.18685714,7.8175,33.33333333,0,0,0,NA,none
Actinopterygii,Gadiformes,Gadidae,Microgadus proximus,none,adult,demersal,continental shelf,1,diel_yes,1,refuge_yes,1,season_yes,schooling,30.5,fusiform,5.14564094,0.039253714,0.828784244,0,0,0,1,1,3.83125,10.96,2.73914,33.33333333,0.5,0,0,3.58,minor commercial
Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronichthys decurrens,none,juvenile,demersal,continental shelf,0,diel_no,1,refuge_yes,NA,season_NA,solitary,NA,depressiform,2.179921445,0.06530126,0.74675595,0,0,1,0,0,NA,NA,NA,33.33333333,0,0,0,NA,none
Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys pacificus,none,juvenile,epipelagic,coastal,1,diel_yes,0,refuge_no,1,season_yes,schooling,16,elongated,6.511275224,0.030925239,0.809484301,0,0,0,1,1,10.28534884,12.23425532,17.23298246,33.33333333,0,0,0,NA,none
Cephalopoda,Oegopsida,Onychoteuthidae,Ancistroteuthis lichtensteinii,none,juvenile,demersal,continental shelf,1,diel_yes,0,refuge_no,1,season_yes,schooling,20,fusiform,8.595551394,0.044497172,0.560045639,0,0,1,0,0,NA,NA,NA,33,4.9,0.71,22.85528019,NA,none
Cephalopoda,Oegopsida,Lycoteuthidae,Lycoteuthis lorigera,none,juvenile,mesopelagic,oceanic,1,diel_yes,1,refuge_yes,0,season_no,schooling,9,fusiform,4.853150499,0.071223512,0.490600552,0,0,0,0,0,NA,NA,3.2,32.8,17.3,25.8,0,NA,none
Cephalopoda,Oegopsida,Octopoteuthidae,Octopoteuthis sicula,none,juvenile,mesopelagic,oceanic,1,diel_yes,0,refuge_no,0,season_no,NA,NA,fusiform,4.32859419,0.072571242,0.459915022,0,1,0,0,0,3.79,17.4,NA,32.7,2.37,0.609243441,0,NA,none
Actinopterygii,Aulopiformes,Paralepididae,Lestidiops sphyrenoides,none,juvenile,epipelagic,oceanic,1,diel_yes,0,refuge_no,1,season_yes,schooling,17.3,elongated,10.70124385,0.040719126,0.92996521,0,1,0,1,0,NA,NA,NA,31.48148148,0,0,0,NA,none
Actinopterygii,Sygnathiformes,Centriscidae,Macroramphosus scolopax,none,adult,demersal,continental shelf,1,diel_yes,1,refuge_yes,1,season_yes,schooling,20,compressiform,4.173742627,0.07485795,0.864082842,1,0,0,1,1,4.407,NA,NA,30,0,0.07,0,3.47,commercial
Cephalopoda,Oegopsida,Brachioteuthidae,Brachioteuthis riisei,none,juvenile,mesopelagic,oceanic,1,diel_yes,0,refuge_no,1,season_yes,NA,6.6,fusiform,6.883387659,0.067264822,0.645379956,0,1,0,0,0,NA,NA,NA,29.62962963,0,0,0,NA,none
Actinopterygii,Myctophiformes,Myctophidae,Ceratoscopelus maderensis,adult,adult,mesopelagic,oceanic,1,diel_yes,0,refuge_no,1,season_yes,schooling,8.1,fusiform,6.066999157,0.082143774,0.769065335,0,0,1,1,1,7.22,NA,8.2,29.62962963,0,0,0,3.05,none
Actinopterygii,Clupeiformes,Engraulidae,Engraulis encrasicolus,juvenile,juvenile,epipelagic,coastal,1,diel_yes,0,refuge_no,1,season_yes,schooling,9.7,elongated,6.728794631,0.048321647,0.849129133,0,0,0,1,1,5.39875,19.625,2.7,29.2,0,20,0,NA,none
Actinopterygii,Clupeiformes,Clupeidae,Sardinops sagax,juvenile,juvenile,epipelagic,coastal,1,diel_yes,0,refuge_no,1,season_yes,schooling,9,fusiform,5.647797974,0.048382029,0.834931517,0,0,1,1,1,7.926666667,17.33555556,8.952571429,29.06976744,3.9020658,7.432769986,4.92,NA,highly commercial
Cephalopoda,Oegopsida,Gonatidae,Gonatopsis borealis,none,juvenile,mesopelagic,oceanic,1,diel_yes,1,refuge_yes,0,season_no,schooling,NA,fusiform,5.732556969,0.038406336,0.56497132,0,0,0,0,0,4.130342857,8.6975,4.186,28.8,15.8,10.8,0,NA,potential
Cephalopoda,Oegopsida,Histioteuthidae,Histioteuthis reversa,none,juvenile,mesopelagic,oceanic,1,diel_yes,0,refuge_no,0,season_no,schooling,5,fusiform,5.760638019,0.060949635,0.351908795,0,0,1,0,0,NA,NA,NA,28,2.05,0.86,0,NA,none
Malacostraca,Euphausiacea,Euphausiidae,Nyctiphanes australis,none,adult,epipelagic,coastal,1,diel_yes,0,refuge_no,1,season_yes,schooling,1.67,elongated,10.50481868,0.042438031,0.830603352,1,0,0,0,0,3,NA,NA,27.9,0,20.4,0,NA,none
Malacostraca,Decapoda,Munididae,Pleuroncodes planipes,adult,adult,demersal,continental shelf,1,diel_yes,1,refuge_yes,1,season_yes,schooling,13,unique,2.748901088,0.076695823,0.88138467,1,0,0,0,0,6.691666667,20.25,0.85,27.75,1.3,23.3,3.38,2.88,commercial
Malacostraca,Stomatopoda,Odontodacylidae,Odontodactylus scyllarus,none,adult,benthic,reef-associated,0,diel_no,1,refuge_yes,0,season_no,solitary,17,elongated,4.744951407,0.044097815,0.757349044,0,0,1,0,0,NA,NA,NA,27,5.1,2.4,0,4.2,none
Cephalopoda,Oegopsida,Onychoteuthidae,Walvisteuthis rancureli,none,juvenile,mesopelagic,oceanic,NA,diel_UN,0,refuge_no,NA,season_NA,NA,8,fusiform,5.630007818,0.021053119,0.468432946,0,0,0,0,0,NA,NA,NA,26.6,8.6,11.3,0,NA,none
Actinopterygii,Pleuronectiformes,Bothidae,Arnoglossus imperialis,none,adult,benthic,continental shelf,1,diel_yes,1,refuge_yes,1,season_yes,solitary,25,depressiform,2.954398223,0.059981511,0.843008555,0,0,1,0,0,5.4,18.8,1.8,24.07407407,0,0,0,3.84,commercial
Cephalopoda,Octopoda,Octopodidae,Pteroctopus tetracirrhus,juvenile,juvenile,benthic,continental shelf,1,diel_yes,1,refuge_yes,1,season_yes,solitary,10,fusiform,4.829763076,0.022015242,0.278256643,0,0,1,0,0,NA,NA,NA,24,3.4,0,0,NA,none
Cephalopoda,Oegopsida,Gonatidae,Gonatus steenstrupi,none,juvenile,mesopelagic,oceanic,1,diel_yes,0,refuge_no,NA,season_NA,schooling,NA,fusiform,3.952109785,0.105027092,0.60402128,0,1,1,0,0,3.78,NA,NA,23.5,3.5,0.3,0,NA,none
Actinopterygii,Myctophiformes,Myctophidae,Lampanyctodes hectoris,none,adult,mesopelagic,oceanic,1,diel_yes,0,refuge_no,1,season_yes,shoaling,7,elongated,6.059316028,0.068235491,0.806609002,0,0,0,1,0,NA,14.7,18.4,23.4,11.7,10.8,0,3.2,commercial
Cephalopoda,Oegopsida,Mastigoteuthidae,Mastigoteuthis dentata,none,adult,mesopelagic,oceanic,1,diel_yes,0,refuge_no,NA,season_NA,NA,7.2,elongated,8.08153378,0.069496432,0.607161656,0,0,0,0,0,NA,NA,NA,22.5,1.8,0.2,0,NA,none
Cephalopoda,Octopoda,Tremoctopodidae,Tremoctopus violaceus,none,larva,epipelagic,oceanic,NA,diel_UN,0,refuge_no,1,season_yes,schooling,NA,globiform,6.49987429,0.046208993,0.209050599,0,1,1,0,0,NA,NA,NA,21.31,7.42,0,0,NA,none
Cephalopoda,Oegopsida,Ommastrephidae,Ornithoteuthis volatilis,none,juvenile,mesopelagic,oceanic,1,diel_yes,0,refuge_no,1,season_yes,schooling,13,fusiform,6.134055885,0.03761193,0.805235461,0,0,1,0,0,NA,NA,NA,20.7,3.3,2.8,0,NA,none
Malacostraca,Decapoda,Scyllaridae,Scyllarus arctus,larva,larva,epipelagic,coastal,NA,diel_UN,0,refuge_no,0,season_no,schooling,2.8,unique,3.760011322,0.037393141,0.839270024,1,1,0,0,0,NA,NA,NA,20.7,0,4.1,0,NA,none
Actinopterygii,Stomiiformes,Phosichthyidae,Vinciguerria lucetia,juvenile,juvenile,mesopelagic,oceanic,1,diel_yes,0,refuge_no,1,season_yes,schooling,4.5,elongated,5.532183035,0.059529623,0.828798377,0,0,0,1,1,5.175,NA,NA,20.1,0,4.95,0,NA,none
Cephalopoda,Oegopsida,Ommastrephidae,Sthenoteuthis oualaniensis,none,juvenile,mesopelagic,oceanic,0,diel_no,0,refuge_no,1,season_yes,schooling,18.3,fusiform,6.153598521,0.035734058,0.579006403,0,0,1,0,0,NA,NA,NA,17.9,7,8.5,0,NA,none
Cephalopoda,Oegopsida,Ocythoidae,Ocythoe tuberculata,none,juvenile,epipelagic,oceanic,0,diel_no,0,refuge_no,NA,season_NA,solitary,NA,elongated,4.324318616,0.036749703,0.328540793,0,1,1,0,0,NA,NA,NA,17.2,0.7,0.6,0,NA,none
Actinopterygii,Aulopiformes,Omosudidae,Omosudis lowii,none,juvenile,mesopelagic,oceanic,1,diel_yes,0,refuge_no,NA,season_NA,solitary,NA,elongated,4.932652161,0.058455516,0.863521682,0,0,1,1,0,NA,NA,NA,16.7,0.7,1.2,0,NA,none
Cephalopoda,Octopoda,Octopodidae,Octopus vulgaris,none,juvenile,benthic,reef-associated,0,diel_no,1,refuge_yes,NA,season_NA,solitary,7,fusiform,6.505205179,0.02630793,0.214655308,0,0,1,0,0,3.42,16.0925,0.823,16.66666667,0,0,0,NA,none
Malacostraca,Euphausiacea,Euphausiidae,Stylocheiron abbreviatum,none,adult,epipelagic,coastal,0,diel_no,0,refuge_no,1,season_yes,schooling,1.6,elongated,8.269619227,0.088214352,0.804455601,1,1,0,0,0,NA,NA,2.03,16.66666667,0,0,0,NA,none
Cephalopoda,Oegopsida,Cranchiidae,Teuthowenia megalops,none,larva,epipelagic,oceanic,NA,diel_UN,0,refuge_no,NA,season_NA,schooling,8.5,globiform,5.126344336,0.103749235,0.639194149,0,1,0,0,0,1.69,NA,NA,16.66666667,0,0,0,NA,none
Actinopterygii,Aulopiformes,Paralepididae,Lestrolepis intermedia,none,juvenile,mesopelagic,oceanic,1,diel_yes,0,refuge_no,NA,season_NA,NA,NA,elongated,16.6999674,0.026409678,0.936908061,0,1,0,1,0,NA,NA,NA,16.3,4.4,4.9,0,NA,none
Hydrozoa,Siphonophorae,Diphyidae,Chelophyes appendiculata,none,adult,epipelagic,continental shelf,1,diel_yes,0,refuge_no,1,season_yes,schooling,0.2,fusiform,4.105854293,0,1,1,1,0,0,0,NA,NA,NA,16,0,0,0,NA,none
Actinopterygii,Scorpaeniformes,Gonatidae,Helicolenus dactylopterus,none,juvenile,epipelagic,continental shelf,NA,diel_UN,1,refuge_yes,1,season_yes,schooling,32,fusiform,3.547613766,0.086675069,0.796634072,1,NA,NA,NA,NA,6.36,19.225,6.51,16,0,0,0,NA,none
Cephalopoda,Octopoda,Octopodidae,Octopus bimaculatus,juvenile,juvenile,benthic,reef-associated,0,diel_no,1,refuge_yes,NA,season_NA,solitary,18,fusiform,4.444081659,0.054434954,0.269818758,0,0,1,0,0,NA,NA,NA,15.9,1.7,0,0,NA,none
Actinopterygii,Myctophiformes,Myctophidae,Notoscopelus kroyeri,none,juvenile,mesopelagic,oceanic,1,diel_yes,0,refuge_no,NA,season_NA,schooling,9.4,fusiform,6.250465502,0.049076933,0.827485536,0,0,1,1,1,7.9,16.6,11.9,15.8,0,6.3,0,NA,none
Actinopterygii,Perciformes,Caproidae,Capros aper,none,juvenile,epipelagic,continental shelf,NA,diel_UN,0,refuge_no,NA,season_NA,schooling,8.2,compressiform,2.288446828,0.114707019,0.761140993,1,0,1,0,0,6.2,17.2,4.8,14.28571429,0,0,0,NA,none
Actinopterygii,Perciformes,Tetragonuridae,Tetragonurus atlanticus,none,juvenile,epipelagic,oceanic,0,diel_no,1,refuge_yes,0,season_no,shoaling,NA,elongated,7.240172789,0.048386908,0.8478112,1,0,1,0,0,NA,NA,NA,14.28571429,0,0,0,NA,none
Actinopterygii,Osmeriformes,Microstomatidae,Nansenia macrolepis,none,adult,mesopelagic,oceanic,NA,diel_UN,0,refuge_no,NA,season_NA,shoaling,20,elongated,8.400764282,0.069102718,0.904024322,0,0,0,1,0,NA,NA,NA,13.6,5,4.2,0,3.3,none
Cephalopoda,Myopsida,Loliginidae,Doryteuthis opalescens,none,juvenile,epipelagic,continental shelf,1,diel_yes,0,refuge_no,1,season_yes,schooling,7,fusiform,6.316863473,0.078642243,0.652230197,0,0,1,0,0,3.49725,16.5,1,13.4,6.044376435,22.66385602,0,NA,none
Cephalopoda,Octopoda,Argonautidae,Argonauta argo,none,adult,epipelagic,oceanic,0,diel_no,0,refuge_no,1,season_yes,schooling,15,compressiform,2.77803979,0.068771724,0.500065632,1,0,1,0,0,NA,NA,NA,13.11,2.37,1.6,0,4.5,commercial
Cephalopoda,Oegopsida,Ommastrephidae,Illex argentinus,adult,adult,epipelagic,continental slope,1,diel_yes,0,refuge_no,1,season_yes,schooling,33,fusiform,4.794643796,0.035297358,0.570488029,0,0,0,0,0,5.014,16,1.12,12,0,0,0,3.82,highly commercial
Cephalopoda,Oegopsida,Ommastrephidae,Ornithoteuthis antillarum,juvenile,juvenile,mesopelagic,oceanic,1,diel_yes,0,refuge_no,0,season_no,schooling,8.8,fusiform,5.901119267,0.038826852,0.805734757,0,0,0,0,0,NA,NA,NA,12,0,0,0,NA,none
Actinopterygii,Beryciformes,Diretmidae,Diretmus argenteus,none,juvenile,mesopelagic,oceanic,1,diel_yes,0,refuge_no,NA,season_NA,NA,NA,compressiform,1.615866962,0.177904491,0.848252449,1,0,0,1,1,NA,NA,NA,11.4,2.6,4.6,0,NA,none
Malacostraca,Decapoda,Alpheidae,Alpheus glaber,none,adult,benthic,coastal,1,diel_yes,1,refuge_yes,0,season_no,shoaling,0.43,elongated,5.770472052,0.028240004,0.880318217,1,0,0,0,0,NA,NA,NA,11.11111111,0,0,0,NA,none
Actinopterygii,Aulopiformes,Anotopteridae,Anotopterus pharao,none,juvenile,mesopelagic,oceanic,NA,diel_UN,0,refuge_no,1,season_yes,solitary,75.9,elongated,14.60883262,0.031248909,0.927838532,0,0,0,1,1,10.87,NA,NA,11.11111111,0,0,0,NA,none
Actinopterygii,Perciformes,Sparidae,Boops boops,none,juvenile,demersal,continental shelf,1,diel_yes,0,refuge_no,0,season_no,schooling,14.3,fusiform,4.604921674,0.072921288,0.81728148,1,0,1,1,1,8,19.8,5.8,11.11111111,0,0,0,NA,none
NA,NA,NA,Clio pyramidata,none,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11111111,0,0,0,NA,NA
Malacostraca,Lophogastrida,Gnathophausiidae,Neognathophausia ingens,none,juvenile,bathypelagic,oceanic,NA,diel_UN,0,refuge_no,NA,season_NA,schooling,NA,fusiform,5.632774326,0.023639623,0.816645968,1,0,0,0,0,2.005,3.8679,4.053566667,11.11111111,0,0,0,NA,none
Actinopterygii,Myctophiformes,Myctophidae,Benthosema glaciale,none,adult,mesopelagic,oceanic,1,diel_yes,0,refuge_no,1,season_yes,schooling,10.3,fusiform,4.76479999,0.073603894,0.769068344,0,0,1,1,0,7.08,13.95,10.6,10.3,0,0.7,0,2.99,potential
