"StudyID","CiteAuth","CiteYear","OceanBasin","OceanBasinQ","LocatName","LocatLatitude","LocatLongitude","MonthRange","YearEnd","stomachs_used","pred_life","pred_life_est","pred_age","pred_age_est","pred_flmean","pred_flmean_se","pred_flmean_est","pred_flmin","pred_flmax","pred_flest","est_note","est_ref","prey_class","prey_order","prey_family","prey_sp","prey_age_reported_1","prey_age_reported_2","prey_age_use","Include","FO","pFOuse","N","pN","Total Mass (g)","pM","maxl_use","maxl_type","gape_lmax","gape_height_limit","b_shape_r","eye_body_r","standard_total","maxtl_use","measure","l_adult","l_juve","l_larva","larva_adult","juve_adult","larva_adult_u","juve_adult_u","larva_adult_use","juve_adult_use","prey_length","prey_frac","prey_proba","life_stage"
"Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"1754","juvenile","Estimated: synthesis effort estimated based population age structure and growth curves for N Atlantic (Santiago & Arrizabalaga 2005)","1–5 yo","Estimated: synthesis effort estimated from N Atlantic growth curve (Santiago & Arrizabalaga 2005)",72.9,NA,"Estimated: synthesis effort estimated from ICCAT data and FL range reported by the study",39,83,"Measured: study reported FL range",NA,"Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005) for growth curve","Malacostraca","Amphipoda","Hyperiidae","Themisto gaudichaudii","adult",NA,"3","Yes",0,27,0,0,0,0,0,"NO",7.75767,6.39634,6.25356215453494,0.0840376199812439,0.710987936277947,0,"l_max",2.8,NA,NA,NA,NA,13.2277038321486,35.9384836382273,13.2277038321486,35.9384836382273,2.8,100,"adult","adult"
"Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"1754","juvenile","Estimated: synthesis effort estimated based population age structure and growth curves for N Atlantic (Santiago & Arrizabalaga 2005)","1–5 yo","Estimated: synthesis effort estimated from N Atlantic growth curve (Santiago & Arrizabalaga 2005)",72.9,NA,"Estimated: synthesis effort estimated from ICCAT data and FL range reported by the study",39,83,"Measured: study reported FL range",NA,"Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005) for growth curve","Malacostraca","Amphipoda","Hyperiidae","Hyperia galba","adult",NA,"3","Yes",0,0.1,0,0,0,0,0,"NO",7.75767,6.39634,4.69329916751324,0.0968753927922142,0.753191106079826,0,"l_max",1.2,NA,NA,NA,NA,13.2277038321486,35.9384836382273,13.2277038321486,35.9384836382273,1.2,100,"adult","adult"
"Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"1754","juvenile","Estimated: synthesis effort estimated based population age structure and growth curves for N Atlantic (Santiago & Arrizabalaga 2005)","1–5 yo","Estimated: synthesis effort estimated from N Atlantic growth curve (Santiago & Arrizabalaga 2005)",72.9,NA,"Estimated: synthesis effort estimated from ICCAT data and FL range reported by the study",39,83,"Measured: study reported FL range",NA,"Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005) for growth curve","Malacostraca","Amphipoda","Phrosinidae","Phrosina semilunata","adult",NA,"3","Yes",0,0.1,0,0,0,0,0,"NO",7.75767,6.39634,NA,NA,NA,0,"l_max",3,NA,NA,NA,NA,13.2277038321486,35.9384836382273,13.2277038321486,35.9384836382273,3,100,"adult","adult"
"Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"1754","juvenile","Estimated: synthesis effort estimated based population age structure and growth curves for N Atlantic (Santiago & Arrizabalaga 2005)","1–5 yo","Estimated: synthesis effort estimated from N Atlantic growth curve (Santiago & Arrizabalaga 2005)",72.9,NA,"Estimated: synthesis effort estimated from ICCAT data and FL range reported by the study",39,83,"Measured: study reported FL range",NA,"Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005) for growth curve","Malacostraca","Amphipoda","Brachyscelidae","Brachyscelus crusculum","adult",NA,"3","Yes",0,0.1,0,0,0,0,0,"NO",7.75767,6.39634,4.25470332127997,0.117075714794915,0.778255217418605,0,"l_max",0.21,NA,NA,NA,NA,13.2277038321486,35.9384836382273,13.2277038321486,35.9384836382273,0.21,100,"adult","adult"
"Aloncle1973","Aloncle, H.","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"1754","juvenile","Estimated: synthesis effort estimated based population age structure and growth curves for N Atlantic (Santiago & Arrizabalaga 2005)","1–5 yo","Estimated: synthesis effort estimated from N Atlantic growth curve (Santiago & Arrizabalaga 2005)",72.9,NA,"Estimated: synthesis effort estimated from ICCAT data and FL range reported by the study",39,83,"Measured: study reported FL range",NA,"Aloncle & Delaporte (1974); Goni et al. (2011); Santiago & Arrizabalaga (2005) for growth curve","Actinopterygii","Stomiiformes","Sternoptychidae","Maurolicus muelleri","none",NA,"0","Yes",0,16,0,0,0,0,0,"NO",7.75767,6.39634,5.03513221969598,0.0826074375229732,0.83924115783412,0,"l_max",8,2.9,2.32352760800302,29.0440951000377,36.25,24.7947748227462,42.8309830230011,29.0440951000377,36.25,7.75767,96.970875,"adult","adult"
"Bello1999","Bello, G.","1999.0","Mediterranean","Mediterranean","SW Adriatic",41.096462,17.512247,"Sep–Oct",1992,"35","juvenile","Estimated: synthesis effort estimated based on N Atlantic growth curves and reported age by the study","1+ yo","Estimated: study estimated age",47.23,NA,"Estimated: study estimated agesynthesis effort estimated from N Atlantic growth curve (Santiago & Arrizabalaga 2005) and estimated age by the study",45,60,"Estimated: study estimated agesynthesis effort estimated from N Atlantic growth curve (Santiago & Arrizabalaga 2005) and estimated age by the studysynthesis effort estimated from N Atlantic growth curve for 1–2+ yo (Santiago & Arrizabalaga 2005)","https://academic.oup.com/icesjms/article/62/4/740/675421","Santiago & Arrizabalaga (2005)","Cephalopoda","Sepiida","Sepiolidae","Heteroteuthis dispar","adult","juvenile","3","Yes",20.335,58.1,112,88.2,0,0,25.8,"ML",5.645029,5.764858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"adult"
"Bello1999","Bello, G.","1999.0","Mediterranean","Mediterranean","SW Adriatic",41.096462,17.512247,"Sep–Oct",1992,"35","juvenile","Estimated: synthesis effort estimated based on N Atlantic growth curves and reported age by the study","1+ yo","Estimated: study estimated age",47.23,NA,"Estimated: study estimated agesynthesis effort estimated from N Atlantic growth curve (Santiago & Arrizabalaga 2005) and estimated age by the study",45,60,"Estimated: study estimated agesynthesis effort estimated from N Atlantic growth curve (Santiago & Arrizabalaga 2005) and estimated age by the studysynthesis effort estimated from N Atlantic growth curve for 1–2+ yo (Santiago & Arrizabalaga 2005)","https://academic.oup.com/icesjms/article/62/4/740/675421","Santiago & Arrizabalaga (2005)","Cephalopoda","Oegopsida","Ommastrephidae","Todarodes sagittatus","juvenile",NA,"2","Yes",9.03,25.8,12,9.4,0,0,0,"NO",5.645029,5.764858,6.73534466250394,0.045715426856833,0.474768542405368,0,"l_max",157.971713163682,48.8659166052988,6.31886852654726,3.99999999999999,30.9333333333332,3.48893481394648,42.6926652457553,3.99999999999999,30.9333333333332,5.645029,3.57344292022137,"larva","juvenile"
"Bello1999","Bello, G.","1999.0","Mediterranean","Mediterranean","SW Adriatic",41.096462,17.512247,"Sep–Oct",1992,"35","juvenile","Estimated: synthesis effort estimated based on N Atlantic growth curves and reported age by the study","1+ yo","Estimated: study estimated age",47.23,NA,"Estimated: study estimated agesynthesis effort estimated from N Atlantic growth curve (Santiago & Arrizabalaga 2005) and estimated age by the study",45,60,"Estimated: study estimated agesynthesis effort estimated from N Atlantic growth curve (Santiago & Arrizabalaga 2005) and estimated age by the studysynthesis effort estimated from N Atlantic growth curve for 1–2+ yo (Santiago & Arrizabalaga 2005)","https://academic.oup.com/icesjms/article/62/4/740/675421","Santiago & Arrizabalaga (2005)","Cephalopoda","Oegopsida","Histioteuthidae","Histioteuthis bonnellii","juvenile",NA,"2","Yes",2.275,6.5,2,1.6,0,0,0,"NO",5.645029,5.764858,4.80014632437565,0.067840870541936,0.290534920223717,0,"l_max",113.583592549183,24.0934893286145,NA,NA,21.2121212121211,6.84210526315788,36.5530303030302,6.84210526315788,21.2121212121211,5.645029,4.9699334853805,"larva","juvenile"
"Bello1999","Bello, G.","1999.0","Mediterranean","Mediterranean","SW Adriatic",41.2,17.512247,"Sep–Oct",1994,"21","juvenile","Estimated: synthesis effort estimated based on N Atlantic growth curves and reported age by the study","2+ yo","Estimated: study estimated age",65,NA,"Estimated: study estimated agesynthesis effort estimated from N Atlantic growth curve (Santiago & Arrizabalaga 2005) and estimated age by the study",60,100,"Estimated: study estimated agesynthesis effort estimated from N Atlantic growth curve (Santiago & Arrizabalaga 2005) and estimated age by the studysynthesis effort estimated from N Atlantic growth curve for 1–2+ yo (Santiago & Arrizabalaga 2005)","https://academic.oup.com/icesjms/article/62/4/740/675421","Santiago & Arrizabalaga (2005)","Cephalopoda","Oegopsida","Ommastrephidae","Todarodes sagittatus","juvenile",NA,"2","Yes",15.477,73.7,34,39.5,0,0,0,"NO",7.1075,6.202,6.73534466250394,0.045715426856833,0.474768542405368,0,"l_max",157.971713163682,48.8659166052988,6.31886852654726,3.99999999999999,30.9333333333332,3.48893481394648,42.6926652457553,3.99999999999999,30.9333333333332,7.1075,4.49922322019486,"juvenile","juvenile"
"Bello1999","Bello, G.","1999.0","Mediterranean","Mediterranean","SW Adriatic",41.2,17.512247,"Sep–Oct",1994,"21","juvenile","Estimated: synthesis effort estimated based on N Atlantic growth curves and reported age by the study","2+ yo","Estimated: study estimated age",65,NA,"Estimated: study estimated agesynthesis effort estimated from N Atlantic growth curve (Santiago & Arrizabalaga 2005) and estimated age by the study",60,100,"Estimated: study estimated agesynthesis effort estimated from N Atlantic growth curve (Santiago & Arrizabalaga 2005) and estimated age by the studysynthesis effort estimated from N Atlantic growth curve for 1–2+ yo (Santiago & Arrizabalaga 2005)","https://academic.oup.com/icesjms/article/62/4/740/675421","Santiago & Arrizabalaga (2005)","Cephalopoda","Oegopsida","Histioteuthidae","Histioteuthis bonnellii","juvenile",NA,"2","Yes",13.272,63.2,33,38.4,0,0,0,"NO",7.1075,6.202,4.80014632437565,0.067840870541936,0.290534920223717,0,"l_max",113.583592549183,24.0934893286145,NA,NA,21.2121212121211,6.84210526315788,36.5530303030302,6.84210526315788,21.2121212121211,7.1075,6.25750589542444,"larva","juvenile"
"Bello1999","Bello, G.","1999.0","Mediterranean","Mediterranean","SW Adriatic",41.2,17.512247,"Sep–Oct",1994,"21","juvenile","Estimated: synthesis effort estimated based on N Atlantic growth curves and reported age by the study","2+ yo","Estimated: study estimated age",65,NA,"Estimated: study estimated agesynthesis effort estimated from N Atlantic growth curve (Santiago & Arrizabalaga 2005) and estimated age by the study",60,100,"Estimated: study estimated agesynthesis effort estimated from N Atlantic growth curve (Santiago & Arrizabalaga 2005) and estimated age by the studysynthesis effort estimated from N Atlantic growth curve for 1–2+ yo (Santiago & Arrizabalaga 2005)","https://academic.oup.com/icesjms/article/62/4/740/675421","Santiago & Arrizabalaga (2005)","Cephalopoda","Sepiida","Sepiolidae","Heteroteuthis dispar","adult","juvenile","3","Yes",12.159,57.9,19,22.1,0,0,13.72,"ML",7.1075,6.202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"adult"
"Bernard1985","Bernard et al.","1985.0","N Pacific","NE Pacific","Southern CA",35.358333,-121.9083335,"Aug–Sep",1983,"94","juvenile","Estimated: synthesis effort estimated based on N Pacific growth curve","2–3 yo","Estimated: synthesis effort estimated N Pacific growth curve (Xu et al. 2014)",69.3,NA,"Estimated: synthesis effort estimated from N Pacific growth curve (Xu et al. 2014) and FL reported by the study",61.13,77.47,"Measured: study reported FL range","https://www.researchgate.net/profile/Yi_Xu47/publication/276919645_A_comparison_study_of_North_Pacific_albacore_Thunnus_alalunga_age_and_growth_among_various_sources/links/555b856608ae6aea0816c65c.pdf","Xu et al. (2014)","Actinopterygii","Clupeiformes","Engraulidae","Engraulis mordax","juvenile","young-of-year","2","Yes",0,69.7,2434.184,34.938768479977,44.1,0,47,"SL",7.46139,6.30778,5.94195536299165,0.0507285341763106,0.851299405873863,55.2097178451032,"l_max",29.1319362246502,11.2768785385743,4.69869939107262,16.1290322580645,38.7096774193549,12.2660925374482,48.3115500472468,16.1290322580645,38.7096774193549,5.52097178451032,18.9516129032258,"juvenile","juvenile"
"Bouxin&Legendre","Legendre & Bouxin","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Oct",1928,"1","juvenile, adult","Estimated: synthesis effort estimated based population age structure and growth curves for N Atlantic (Santiago & Arrizabalaga 2005)","1–8 yo","Estimated: synthesis effort estimated from N Atlantic growth curve (Santiago & Arrizabalaga 2005)",72.9,NA,"Estimated: synthesis effort estimated from ICCAT data and likely FL range for this study",40,110,"Estimated: synthesis effort used previous FL range reported for the same region (Goni et al. 2011)",NA,"Used Goni et al. (2011) size values; growth estimates from Santiago & Arrizabalaga (2005): https://academic.oup.com/icesjms/article/62/4/740/675421;","Actinopterygii","Stomiiformes","Sternoptychidae","Argyropelecus olfersii","none",NA,"0","Yes",1,100,0,0,0,0,0,"NO",7.75767,6.39634,1.97490772453378,0.0879693791807599,0.759731568098875,0,"l_max",11,NA,NA,NA,NA,24.7947748227462,42.8309830230011,24.7947748227462,42.8309830230011,7.75767,70.5242727272727,"adult","adult"
"Bouxin&Legendre","Legendre & Bouxin","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Aug",1929,"6","juvenile, adult","Estimated: synthesis effort estimated based population age structure and growth curves for N Atlantic (Santiago & Arrizabalaga 2005)","1–8 yo","Estimated: synthesis effort estimated from N Atlantic growth curve (Santiago & Arrizabalaga 2005)",72.9,NA,"Estimated: synthesis effort estimated from ICCAT data and likely FL range for this study",40,110,"Estimated: synthesis effort used previous FL range reported for the same region (Goni et al. 2011)",NA,"Used Goni et al. (2011) size values; growth estimates from Santiago & Arrizabalaga (2005): https://academic.oup.com/icesjms/article/62/4/740/675421;","Malacostraca","Amphipoda","Brachyscelidae","Brachyscelus crusculum","adult",NA,"3","Yes",2,33.3333333333333,0,0,0,0,0,"NO",7.75767,6.39634,4.25470332127997,0.117075714794915,0.778255217418605,0,"l_max",0.21,NA,NA,NA,NA,13.2277038321486,35.9384836382273,13.2277038321486,35.9384836382273,0.21,100,"adult","adult"
"Bouxin&Legendre","Legendre & Bouxin","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Aug",1929,"6","juvenile, adult","Estimated: synthesis effort estimated based population age structure and growth curves for N Atlantic (Santiago & Arrizabalaga 2005)","1–8 yo","Estimated: synthesis effort estimated from N Atlantic growth curve (Santiago & Arrizabalaga 2005)",72.9,NA,"Estimated: synthesis effort estimated from ICCAT data and likely FL range for this study",40,110,"Estimated: synthesis effort used previous FL range reported for the same region (Goni et al. 2011)",NA,"Used Goni et al. (2011) size values; growth estimates from Santiago & Arrizabalaga (2005): https://academic.oup.com/icesjms/article/62/4/740/675421;","Cephalopoda","Decapodiformes","Chtenopterygidae","Chtenopteryx sicula","none",NA,"0","Yes",2,33.3333333333333,0,0,0,0,0,"NO",7.75767,6.39634,4.00770390564239,0.0953678953034641,0.494758846292766,0,"l_max",20.2118670033495,12.1271202020097,NA,NA,60,7.99055640964786,60,7.99055640964786,60,7.75767,38.3817585911999,"juvenile","juvenile"
"Bouxin&Legendre","Legendre & Bouxin","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Aug",1929,"6","juvenile, adult","Estimated: synthesis effort estimated based population age structure and growth curves for N Atlantic (Santiago & Arrizabalaga 2005)","1–8 yo","Estimated: synthesis effort estimated from N Atlantic growth curve (Santiago & Arrizabalaga 2005)",72.9,NA,"Estimated: synthesis effort estimated from ICCAT data and likely FL range for this study",40,110,"Estimated: synthesis effort used previous FL range reported for the same region (Goni et al. 2011)",NA,"Used Goni et al. (2011) size values; growth estimates from Santiago & Arrizabalaga (2005): https://academic.oup.com/icesjms/article/62/4/740/675421;","Malacostraca","Decapoda","Sergestidae","Eusergestes arcticus","adult",NA,"3","Yes",2,33.3333333333333,0,0,0,0,0,"NO",7.75767,6.39634,8.8580992758633,0.0309819418689772,0.820557585951111,0,"l_max",1.4,NA,NA,NA,NA,13.2277038321486,10.7407407407407,13.2277038321486,10.7407407407407,1.4,100,"adult","adult"
"Bouxin&Legendre","Legendre & Bouxin","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Aug",1929,"6","juvenile, adult","Estimated: synthesis effort estimated based population age structure and growth curves for N Atlantic (Santiago & Arrizabalaga 2005)","1–8 yo","Estimated: synthesis effort estimated from N Atlantic growth curve (Santiago & Arrizabalaga 2005)",72.9,NA,"Estimated: synthesis effort estimated from ICCAT data and likely FL range for this study",40,110,"Estimated: synthesis effort used previous FL range reported for the same region (Goni et al. 2011)",NA,"Used Goni et al. (2011) size values; growth estimates from Santiago & Arrizabalaga (2005): https://academic.oup.com/icesjms/article/62/4/740/675421;","Actinopterygii","Stomiiformes","Sternoptychidae","Maurolicus muelleri","none",NA,"0","Yes",3,50,0,0,0,0,0,"NO",7.75767,6.39634,5.03513221969598,0.0826074375229732,0.83924115783412,0,"l_max",8,2.9,2.32352760800302,29.0440951000377,36.25,24.7947748227462,42.8309830230011,29.0440951000377,36.25,7.75767,96.970875,"adult","adult"
