"StudyID","rep_ID","YearEnd","OceanBasin","OceanBasinQ","province","code","lat_cat","pred_life_adjust","Abraliopsis affinis","Abraliopsis felis","Abraliopsis gilchristi","Abraliopsis morisii","Alepisaurus ferox","Alloteuthis subulata","Anchylomera blossevillei","Ancistrocheirus lesueurii","Ancistroteuthis lichtensteinii","Arctozenus risso","Argonauta argo","Argonauta nouryi","Ateleopus natalensis","Balistes punctatus","Bathophilus flemingi","Benthosema glaciale","Berryteuthis anonychus","Beryx splendens","Brachyscelus crusculum","Brama orcini","Bregmaceros mcclellandi","Canthidermis maculata","Capros aper","Ceratias tentaculatus","Ceratoscopelus townsendi","Ceratoscopelus warmingii","Chiasmodon niger","Chiroteuthis veranii","Cololabis saira","Cookeolus japonicus","Coryphaena hippurus","Cranchia scabra","Cubiceps capensis","Cubiceps pauciradiatus","Cymatogaster aggregata","Cyphocaris faurei","Dactyloptena orientalis","Decapterus macarellus","Diacria trispinosa","Diaphus effulgens","Diaphus lucidus","Diaphus perspicillatus","Diaphus theta","Diretmus argenteus","Doryteuthis opalescens","Dosidicus gigas","Echinosquilla guerinii","Electrona rissoi","Eledone cirrhosa","Engraulis capensis","Engraulis encrasicolus","Engraulis japonicus","Engraulis mordax","Eucleoteuthis luminosa","Euphausia pacifica","Eusergestes similis","Funchalia taaningi","Funchalia woodwardi","Gempylus serpens","Gonatopsis borealis","Gonatus berryi","Gonatus steenstrupi","Heterocarpus laevigatus","Heteroteuthis dispar","Histioteuthis bonnellii","Histioteuthis heteropsis","Histioteuthis reversa","Illex coindetii","Janicella spinicauda","Japetella diaphana","Katsuwonus pelamis","Lactoria diaphana","Lampadena luminosa","Lampanyctodes hectoris","Leptocotis tenuirostris","Lestidiops similis","Lestrolepis intermedia","Leuroglossus stilbius","Lobianchia gemellarii","Lycoteuthis lorigera","Lysiosquilla tredecimdentata","Magnisudis atlantica","Makaira mazara","Mastigoteuthis dentata","Masturus lanceolatus","Maurolicus imperatorius","Maurolicus muelleri","Medialuna californiensis","Meganyctiphanes norvegica","Melamphaes lugubris","Merluccius productus","Microgadus proximus","Micromesistius poutassou","Myctophum asperum","Nannobrachium ritteri","Nansenia macrolepis","Natosquilla investigatoris","Nematoscelis megalops","Neoanchisquilla tuberculata","Neognathophausia gigas","Octopoteuthis rugosa","Octopoteuthis sicula","Octopus bimaculatus","Ocythoe tuberculata","Odontodactylus hansenii","Odontodactylus scyllarus","Ommastrephes bartramii","Omosudis lowii","Onychoteuthis banksii","Onychoteuthis borealijaponica","Onykia robusta","Opisthoteuthis californiana","Oplophorus typus","Ornithoteuthis volatilis","Ostracion cubicus","Paralepis coregonoides","Paralepis speciosa","Parapronoe crustulum","Parribacus antarcticus","Peprilus simillimus","Phrosina semilunata","Platyscelus ovoides","Platyscelus serratulus","Pleuroncodes planipes","Primno macropa","Protomyctophum crockeri","Pteroctopus tetracirrhus","Pterycombus petersii","Pterygioteuthis giardi","Pyroteuthis margaritifera","Ranzania laevis","Rexea prometheoides","Salpa maxima","Sardina pilchardus","Sardinella aurita","Sardinops sagax","Scaeurgus unicirrhus","Scomber japonicus","Scomber scombrus","Scomberesox saurus","Scopelarchus analis","Scopelogadus mizolepis bispinosus","Spirula spirula","Stenobrachius leucopsarus","Sternoptyx diaphana","Sthenoteuthis oualaniensis","Stigmatoteuthis dofleini","Stigmatoteuthis hoylei","Streetsia challengeri","Sudis hyalina","Symbolophorus barnardi","Taningia danae","Tarletonbeania crenularis","Tetragonurus cuvieri","Teuthowenia megalops","Themisto gaudichaudii","Thyrsitoides marleyi","Todarodes pacificus","Todarodes sagittatus","Trachurus japonicus","Trachurus symmetricus","Trachurus trachurus","Tremoctopus gracilis","Tremoctopus violaceus","Triphoturus mexicanus","Vampyroteuthis infernalis","Vibilia gibbosa","Vinciguerria lucetia","Walvisteuthis rancureli"
"Pinkas1971","Pinkas1971_55",1969,"N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0.6,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,76.5,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pinkas1971","Pinkas1971_56",1968,"N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile",0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.6,1.6,0.1,0,0,0,0,0,1.9,0.3,0,0,0,0,0,0,0,0,0.1,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
"Pinkas1971","Pinkas1971_57",1969,"N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile",0,11.3,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,1.1,0.1,0,0,0,0,0,0,10.1,0,13,0,0,0,0,0,0,3.5,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.9,0,0,0,0,0,1.1,0,0.5,0,0,0.1,0,0,0,0,0,0,2.2,0.3,0.7,0,0,0,0,0,13.4,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.1,0.1,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0
"Pusineri2005","Pusineri2005_58",1993,"N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","juvenile",0,0,0,0,0,0,0,0,0.2,4,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.5,0,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Romanov2020","Romanov2020_59",2015,"Indian","NW Indian","Trades - Indian Monsoon Gyres Province","MONS","tropical","adult",0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0.1,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"Romanov2020","Romanov2020_60",2014,"Indian","SW Indian","Trades - Indian S. Subtropical Gyre Province","ISSG","tropical","adult",0,0,0,1.5,0.3,0,0,0.2,0,0,0.6,0,0.3,0.2,0,0,0,0.2,0,0,0,0,0,0.1,0,0,1.1,0,0,0.2,0,0.1,0.1,0,0,0.1,0.1,0.1,0.3,0,1.5,1.6,0,2.6,0,0,0,0.1,0,0,0,0,0,1.1,0,0,0.2,0,0.3,0,0,0,0,0,0,0,0,0,0.5,0.8,0,0,0.3,0,0,0.2,4.4,0,0,0,0.9,2,0.5,0,0.1,0,0,0,0,0,0,0,0,0.9,0,5,0,0,0.7,0,0,0,0,0,0,3.5,0.9,0.7,3.3,0,0,0,0.5,0.4,0.2,0,0,0,0.1,0,0.2,1.1,0,0,0,0,0,0.1,0,0,1.3,0.1,0.8,0,0,0,0,0,0,0.1,1,0,0,0,0,7,0.6,0.6,0,0,0,0.1,0,0,0,0,0.4,0,0,0,0,0,0.1,0,0,0,0,0,8.6
"Romanov2020","Romanov2020_61",2014,"Indian","SW Indian","Coastal - E. Africa Coastal Province","EAFR","tropical","adult",0,0,0,3.4,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0.2,5.8,5.8,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0.8,0,0,0,0.9,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1.1,0,0,0,0,0,0,5.1,1.6,0,0.4,0,0,0,0.3,1.2,0,0,0,0,0,0,0.9,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,2.8
"Romanov2020","Romanov2020_62",2014,"S Atlantic","SE Atlantic","Coastal - E. Africa Coastal Province","EAFR","temperate","adult",0,0,0.2,0,0,0,0,0.2,0,0,0.4,0,0,0,0,0,0,0,3.1,0,0.3,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7,0,0,0.6,0,0.1,17.3,0.3,0,0,0,0,0,23.8,0,0,0,0,0,0,0,0,0.3,0,0,0.1,0,0.1,0,0,0.2,0,0,0,0,0.2,0,0,0,0,3.3,0,0,0,0,0,0,4.2,0.6,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"Romeo2012","Romeo2012_63",2008,"Mediterranean","Mediterranean","Westerlies - Mediterranean Sea, Black Sea Province","MEDI","temperate","juvenile",0,0,0,0,0,0.1,0,0.4,4.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0.1,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,0,0,0,0,0,0,0,0,0,0
"Salman&Karakulak2009","Salman&Karakulak2009_64",2007,"Mediterranean","Mediterranean","Westerlies - Mediterranean Sea, Black Sea Province","MEDI","temperate","juvenile",0,0,0,0,0,0,0,0,0.79,0,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.4,0,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37,0,0,0,0,0.63,0,12.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.16,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.64,0,0,0,0,7.42,0,0,0,0,0
"Watanabe-etal2004","Watanabe-etal2004_65",2001,"N Pacific","NW Pacific","Westerlies - N. Pacific Polar Front Province","NPPF","temperate","juvenile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0,48.2,0,0,0,0,0,0,0,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0
"Watanabe-etal2004","Watanabe-etal2004_66",2002,"N Pacific","NW Pacific","Westerlies - N. Pacific Polar Front Province","NPPF","temperate","juvenile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.8,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
