"","StudyID","rep_ID","YearEnd","OceanBasin","OceanBasinQ","province","code","lat_cat","pred_life_adjust"
"42","Joubin1918","Joubin1918_43","1918","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed"
"43","Madigan2015","Madigan2015_44","2010","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile"
"44","Matthews1977","Matthews1977_45","1964","N Atlantic","NW Atlantic","Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)","NASW","temperate","adult"
"45","McHugh1952","McHugh1952_46","1949","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile"
"46","Monaco1888","Monaco1888_47","1888","Mediterranean","Mediterranean","Westerlies - Mediterranean Sea, Black Sea Province","MEDI","temperate","mixed"
"47","OrtizZarate1987","OrtizZarate1987_48","1968","N Atlantic","NE Atlantic","Coastal - NE Atlantic Shelves Province","NECS","temperate","juvenile"
"48","Pinkas1971","Pinkas1971_49","1968","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile"
"49","Pinkas1971","Pinkas1971_50","1968","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile"
"50","Pinkas1971","Pinkas1971_51","1968","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile"
"51","Pinkas1971","Pinkas1971_52","1969","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile"
"52","Pinkas1971","Pinkas1971_53","1969","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile"
"53","Pusineri2005","Pusineri2005_54","1993","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","juvenile"
"54","Romeo2012","Romeo2012_59","2008","Mediterranean","Mediterranean","Westerlies - Mediterranean Sea, Black Sea Province","MEDI","temperate","juvenile"
"55","Salman&Karakulak2009","Salman&Karakulak2009_60","2007","Mediterranean","Mediterranean","Westerlies - Mediterranean Sea, Black Sea Province","MEDI","temperate","juvenile"
"56","Watanabe2004","Watanabe2004_61","2001","N Pacific","NW Pacific","Westerlies - N. Pacific Polar Front Province","NPPF","temperate","juvenile"
"57","Watanabe2004","Watanabe2004_62","2002","N Pacific","NW Pacific","Westerlies - N. Pacific Polar Front Province","NPPF","temperate","juvenile"
"58","Watanabe2004","Watanabe2004_63","2002","N Pacific","NW Pacific","Westerlies - N. Pacific Polar Front Province","NPPF","temperate","juvenile"
"59","Williams2015","Williams2015_64","2010","S Pacific","SW Pacific","Trades - Archipelagic Deep Basins Province","ARCH","tropical","mixed"
"60","Williams2015","Williams2015_65","2008","S Pacific","SW Pacific","Westerlies - Subantarctic Province","SANT","temperate","juvenile"
"61","Williams2015","Williams2015_66","2009","S Pacific","SW Pacific","Westerlies - Subantarctic Province","SANT","temperate","juvenile"
"62","Williams2015","Williams2015_67","2010","S Pacific","SW Pacific","Coastal - New Zealand Coastal Province","NEWZ","temperate","mixed"
"63","Williams2015","Williams2015_68","2010","S Pacific","SW Pacific","Westerlies - S. Pacific Subtropical Gyre Province","SPSG","tropical","mixed"
"64","Young2010","Young2010_69","2006","S Pacific","SW Pacific","Trades - Archipelagic Deep Basins Province","ARCH","temperate","adult"
"65","Young2010","Young2010_70","2006","S Pacific","SW Pacific","Trades - Archipelagic Deep Basins Province","ARCH","temperate","mixed"
