"","StudyID","CiteAuth","CiteYear","OceanBasin","OceanBasinQ","LocatLatitude","LocatLongitude","YearEnd","lat_cat","province","code","pred_life","pred_flmean","grouped_id","Alepisaurus ferox","Anchylomera blossevillei","Ancistroteuthis lichtensteinii","Arctozenus risso","Argonauta argo","Argonauta nodosus","Belone belone","Benthosema glaciale","Beryx splendens","Brachyscelus crusculum","Ceratoscopelus warmingii","Cololabis saira","Diaphus effulgens","Diaphus lucidus","Diaphus perspicillatus","Diaphus theta","Doryteuthis opalescens","Dosidicus gigas","Electrona rissoi","Engraulis capensis","Engraulis encrasicolus","Engraulis japonicus","Engraulis mordax","Entelurus aequoreus","Eucleoteuthis luminosa","Funchalia taaningi","Funchalia woodwardi","Gonatopsis borealis","Heterocarpus laevigatus","Histioteuthis reversa","Hyaloteuthis pelagica","Illex coindetii","Janicella spinicauda","Lampadena luminosa","Lampanyctodes hectoris","Leptocotis tenuirostris","Lycoteuthis lorigera","Lysiosquilla tredecimdentata","Macroramphosus scolopax","Makaira mazara","Maurolicus imperatorius","Maurolicus muelleri","Medialuna californiensis","Meganyctiphanes norvegica","Merluccius productus","Micromesistius poutassou","Myctophum asperum","Nematoscelis megalops","Nyctiphanes australis","Ocythoe tuberculata","Odontodactylus scyllarus","Ommastrephes bartramii","Onychoteuthis banksii","Onychoteuthis borealijaponica","Oplophorus typus","Ornithoteuthis volatilis","Parapronoe crustulum","Phrosina semilunata","Platyscelus serratulus","Pleuroncodes planipes","Ranzania laevis","Sardina pilchardus","Sardinella aurita","Sardinops sagax","Scomber japonicus","Scomber scombrus","Scomberesox saurus","Scyllarus arctus","Sthenoteuthis oualaniensis","Streetsia challengeri","Symbolophorus barnardi","Themisto gaudichaudii","Thysanoteuthis rhombus","Todarodes pacificus","Todarodes sagittatus","Todaropsis eblanae","Trachurus japonicus","Trachurus symmetricus","Trachurus trachurus","Triphoturus mexicanus","Vibilia gibbosa","Vinciguerria lucetia"
"15","Goni2011","Goni et al.","2011.0","N Atlantic","NE Atlantic",48,-13,2005,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile, adult",63.2,1,0,0,0,0,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Goni2011","Goni et al.","2011.0","N Atlantic","NE Atlantic",47.8,-10,2005,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile, adult",63.2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3,0,0,0,0,14.7,0,0,0,0,0,0,0,0,0,0
"17","Goni2011","Goni et al.","2011.0","N Atlantic","NE Atlantic",47.8,-10,2005,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile, adult",63.2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Goni2011","Goni et al.","2011.0","N Atlantic","NE Atlantic",47.8,-10,2005,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile, adult",63.2,2,0,0,0,0,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Goni2011","Goni et al.","2011.0","N Atlantic","NE Atlantic",47.8,-10,2005,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile, adult",63.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","Goni2011","Goni et al.","2011.0","N Atlantic","NE Atlantic",46.7,-5.6,2005,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile, adult",63.2,1,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Goni2011","Goni et al.","2011.0","N Atlantic","NE Atlantic",46.7,-5.6,2005,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile, adult",63.2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,0,0,0,0,0,0,0,0,0,0
"22","Goni2011","Goni et al.","2011.0","N Atlantic","NE Atlantic",46.7,-5.6,2005,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile, adult",63.2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Goni2011","Goni et al.","2011.0","N Atlantic","NE Atlantic",46.7,-5.6,2005,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile, adult",63.2,3,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Goni2011","Goni et al.","2011.0","N Atlantic","NE Atlantic",46.7,-5.6,2005,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile, adult",63.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Goni2011","Goni et al.","2011.0","N Atlantic","NE Atlantic",44,-2.7,2005,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile, adult",63.2,2,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Goni2011","Goni et al.","2011.0","N Atlantic","NE Atlantic",44,-2.7,2005,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile, adult",63.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
"27","Goni2011","Goni et al.","2011.0","N Atlantic","NE Atlantic",44,-2.7,2005,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile, adult",63.2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Goni2011","Goni et al.","2011.0","N Atlantic","NE Atlantic",44,-2.7,2005,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile, adult",63.2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","Goni2011","Goni et al.","2011.0","N Atlantic","NE Atlantic",44,-2.7,2005,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile, adult",63.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,7.8,0,0,0
"30","Goni2011","Goni et al.","2011.0","N Atlantic","NE Atlantic",44,-2.7,2005,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile, adult",63.2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","Goni2011","Goni et al.","2011.0","N Atlantic","NE Atlantic",47.8,-10,2006,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile, adult",61.1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"32","Goni2011","Goni et al.","2011.0","N Atlantic","NE Atlantic",47.8,-10,2006,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile, adult",61.1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","Goni2011","Goni et al.","2011.0","N Atlantic","NE Atlantic",47.8,-10,2006,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile, adult",61.1,4,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Goni2011","Goni et al.","2011.0","N Atlantic","NE Atlantic",47.8,-10,2006,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile, adult",61.1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","Goni2011","Goni et al.","2011.0","N Atlantic","NE Atlantic",47.8,-10,2006,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile, adult",61.1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","Goni2011","Goni et al.","2011.0","N Atlantic","NE Atlantic",46.7,-5.6,2006,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile, adult",61.1,3,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","Goni2011","Goni et al.","2011.0","N Atlantic","NE Atlantic",46.7,-5.6,2006,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile, adult",61.1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","Goni2011","Goni et al.","2011.0","N Atlantic","NE Atlantic",46.7,-5.6,2006,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile, adult",61.1,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","Goni2011","Goni et al.","2011.0","N Atlantic","NE Atlantic",46.7,-5.6,2006,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile, adult",61.1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","Goni2011","Goni et al.","2011.0","N Atlantic","NE Atlantic",46.7,-5.6,2006,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile, adult",61.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0
"41","Goni2011","Goni et al.","2011.0","N Atlantic","NE Atlantic",46.7,-5.6,2006,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile, adult",61.1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","Goni2011","Goni et al.","2011.0","N Atlantic","NE Atlantic",45.4,-3.5,2006,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile, adult",61.1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","Goni2011","Goni et al.","2011.0","N Atlantic","NE Atlantic",45.4,-3.5,2006,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile, adult",61.1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","Goni2011","Goni et al.","2011.0","N Atlantic","NE Atlantic",45.4,-3.5,2006,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile, adult",61.1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","Goni2011","Goni et al.","2011.0","N Atlantic","NE Atlantic",44,-2.7,2006,"temperate","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","juvenile, adult",61.1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
