"","StudyID","CiteAuth","CiteYear","OceanBasin","OceanBasinQ","LocatLatitude","LocatLongitude","YearEnd","lat_cat","province","code","pred_life","pred_flmean","grouped_id","Alepisaurus ferox","Anchylomera blossevillei","Ancistroteuthis lichtensteinii","Arctozenus risso","Argonauta argo","Benthosema glaciale","Berryteuthis anonychus","Beryx splendens","Brachyscelus crusculum","Brama orcini","Canthidermis maculata","Ceratoscopelus townsendi","Ceratoscopelus warmingii","Cololabis saira","Cookeolus japonicus","Coryphaena hippurus","Cymatogaster aggregata","Dactyloptena orientalis","Diaphus effulgens","Diaphus lucidus","Diaphus perspicillatus","Diaphus theta","Doryteuthis opalescens","Dosidicus gigas","Electrona rissoi","Eledone cirrhosa","Engraulis capensis","Engraulis encrasicolus","Engraulis japonicus","Engraulis mordax","Eucleoteuthis luminosa","Euphausia pacifica","Eusergestes similis","Funchalia taaningi","Funchalia woodwardi","Gonatopsis borealis","Heterocarpus laevigatus","Histioteuthis bonnellii","Histioteuthis heteropsis","Histioteuthis reversa","Illex coindetii","Janicella spinicauda","Katsuwonus pelamis","Lampadena luminosa","Lampanyctodes hectoris","Leptocotis tenuirostris","Leuroglossus stilbius","Lobianchia gemellarii","Lycoteuthis lorigera","Lysiosquilla tredecimdentata","Makaira mazara","Masturus lanceolatus","Maurolicus imperatorius","Maurolicus muelleri","Medialuna californiensis","Meganyctiphanes norvegica","Merluccius productus","Microgadus proximus","Micromesistius poutassou","Myctophum asperum","Nannobrachium ritteri","Nematoscelis megalops","Ocythoe tuberculata","Odontodactylus scyllarus","Ommastrephes bartramii","Onychoteuthis banksii","Onychoteuthis borealijaponica","Opisthoteuthis californiana","Oplophorus typus","Ornithoteuthis volatilis","Ostracion cubicus","Parapronoe crustulum","Parribacus antarcticus","Phrosina semilunata","Platyscelus serratulus","Pleuroncodes planipes","Pteroctopus tetracirrhus","Ranzania laevis","Sardina pilchardus","Sardinella aurita","Sardinops sagax","Scaeurgus unicirrhus","Scomber japonicus","Scomber scombrus","Scomberesox saurus","Sternoptyx diaphana","Sthenoteuthis oualaniensis","Streetsia challengeri","Symbolophorus barnardi","Tetragonurus cuvieri","Themisto gaudichaudii","Todarodes pacificus","Todarodes sagittatus","Trachurus japonicus","Trachurus symmetricus","Trachurus trachurus","Triphoturus mexicanus","Vampyroteuthis infernalis","Vibilia gibbosa","Vinciguerria lucetia"
"11","Madigan2015","Madigan et al.","2015.0","N Pacific","NE Pacific",34.633208,-124.292542,2010,"temperate","Coastal - California Upwelling Coastal Province","CCAL","juvenile",75.6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53557765876052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.459066564651875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","OrtizZarate1987","Ortiz de Zarate, V","1987.0","N Atlantic","NE Atlantic",46.986108,-5.407589,1968,"temperate","Coastal - NE Atlantic Shelves Province","NECS","juvenile, adult",72.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.5,0,0,0,0,0,0,0,0,0,0,28.1,0,0,0,0
"13","OrtizZarate1987","Ortiz de Zarate, V","1987.0","N Atlantic","NE Atlantic",46.986108,-5.407589,1968,"temperate","Coastal - NE Atlantic Shelves Province","NECS","juvenile, adult",72.9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Pinkas1971","Pinkas, L, MS Oliphant, ILK Iverson","1971.0","N Pacific","NE Pacific",45,-126,1969,"temperate","Coastal - California Upwelling Coastal Province","CCAL","juvenile, adult",68.4,1,0,0,0,0,0,0,9,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Pinkas1971","Pinkas, L, MS Oliphant, ILK Iverson","1971.0","N Pacific","NE Pacific",45,-126,1968,"temperate","Coastal - California Upwelling Coastal Province","CCAL","juvenile, adult",68.4,2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,52.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Pinkas1971","Pinkas, L, MS Oliphant, ILK Iverson","1971.0","N Pacific","NE Pacific",35.283333333,-122,1968,"temperate","Coastal - California Upwelling Coastal Province","CCAL","juvenile, adult",68.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,43.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Pinkas1971","Pinkas, L, MS Oliphant, ILK Iverson","1971.0","N Pacific","NE Pacific",45,-126,1968,"temperate","Coastal - California Upwelling Coastal Province","CCAL","juvenile, adult",68.4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Pinkas1971","Pinkas, L, MS Oliphant, ILK Iverson","1971.0","N Pacific","NE Pacific",32,-119.5,1969,"temperate","Coastal - California Upwelling Coastal Province","CCAL","juvenile, adult",68.4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,13.4,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Pinkas1971","Pinkas, L, MS Oliphant, ILK Iverson","1971.0","N Pacific","NE Pacific",32,-119.5,1969,"temperate","Coastal - California Upwelling Coastal Province","CCAL","juvenile, adult",68.4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"20","Pinkas1971","Pinkas, L, MS Oliphant, ILK Iverson","1971.0","N Pacific","NE Pacific",32,-119.5,1968,"temperate","Coastal - California Upwelling Coastal Province","CCAL","juvenile, adult",68.4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Pinkas1971","Pinkas, L, MS Oliphant, ILK Iverson","1971.0","N Pacific","NE Pacific",32,-119.5,1969,"temperate","Coastal - California Upwelling Coastal Province","CCAL","juvenile, adult",68.4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Pinkas1971","Pinkas, L, MS Oliphant, ILK Iverson","1971.0","N Pacific","NE Pacific",35.283333333,-122,1968,"temperate","Coastal - California Upwelling Coastal Province","CCAL","juvenile, adult",68.4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Pinkas1971","Pinkas, L, MS Oliphant, ILK Iverson","1971.0","N Pacific","NE Pacific",45,-126,1969,"temperate","Coastal - California Upwelling Coastal Province","CCAL","juvenile, adult",68.4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Pinkas1971","Pinkas, L, MS Oliphant, ILK Iverson","1971.0","N Pacific","NE Pacific",32,-119.5,1968,"temperate","Coastal - California Upwelling Coastal Province","CCAL","juvenile, adult",68.4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Pinkas1971","Pinkas, L, MS Oliphant, ILK Iverson","1971.0","N Pacific","NE Pacific",35.283333333,-122,1968,"temperate","Coastal - California Upwelling Coastal Province","CCAL","juvenile, adult",68.4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Pinkas1971","Pinkas, L, MS Oliphant, ILK Iverson","1971.0","N Pacific","NE Pacific",35.283333333,-122,1968,"temperate","Coastal - California Upwelling Coastal Province","CCAL","juvenile, adult",68.4,3,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","Pinkas1971","Pinkas, L, MS Oliphant, ILK Iverson","1971.0","N Pacific","NE Pacific",32,-119.5,1968,"temperate","Coastal - California Upwelling Coastal Province","CCAL","juvenile, adult",68.4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
"28","Pinkas1971","Pinkas, L, MS Oliphant, ILK Iverson","1971.0","N Pacific","NE Pacific",45,-126,1969,"temperate","Coastal - California Upwelling Coastal Province","CCAL","juvenile, adult",68.4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","Pinkas1971","Pinkas, L, MS Oliphant, ILK Iverson","1971.0","N Pacific","NE Pacific",35.283333333,-122,1968,"temperate","Coastal - California Upwelling Coastal Province","CCAL","juvenile, adult",68.4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Pinkas1971","Pinkas, L, MS Oliphant, ILK Iverson","1971.0","N Pacific","NE Pacific",35.283333333,-122,1968,"temperate","Coastal - California Upwelling Coastal Province","CCAL","juvenile, adult",68.4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","Pinkas1971","Pinkas, L, MS Oliphant, ILK Iverson","1971.0","N Pacific","NE Pacific",45,-126,1968,"temperate","Coastal - California Upwelling Coastal Province","CCAL","juvenile, adult",68.4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","Pinkas1971","Pinkas, L, MS Oliphant, ILK Iverson","1971.0","N Pacific","NE Pacific",45,-126,1969,"temperate","Coastal - California Upwelling Coastal Province","CCAL","juvenile, adult",68.4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","Pinkas1971","Pinkas, L, MS Oliphant, ILK Iverson","1971.0","N Pacific","NE Pacific",32,-119.5,1969,"temperate","Coastal - California Upwelling Coastal Province","CCAL","juvenile, adult",68.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1
"34","Pinkas1971","Pinkas, L, MS Oliphant, ILK Iverson","1971.0","N Pacific","NE Pacific",45,-126,1968,"temperate","Coastal - California Upwelling Coastal Province","CCAL","juvenile, adult",68.4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","Pinkas1971","Pinkas, L, MS Oliphant, ILK Iverson","1971.0","N Pacific","NE Pacific",35.283333333,-122,1968,"temperate","Coastal - California Upwelling Coastal Province","CCAL","juvenile, adult",68.4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","Pinkas1971","Pinkas, L, MS Oliphant, ILK Iverson","1971.0","N Pacific","NE Pacific",45,-126,1968,"temperate","Coastal - California Upwelling Coastal Province","CCAL","juvenile, adult",68.4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","Pinkas1971","Pinkas, L, MS Oliphant, ILK Iverson","1971.0","N Pacific","NE Pacific",45,-126,1968,"temperate","Coastal - California Upwelling Coastal Province","CCAL","juvenile, adult",68.4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
