"StudyID","CiteYear","OceanBasin","OceanBasinQ","LocatName","LocatLatitude","LocatLongitude","MonthRange","YearEnd","SampleMethod","SampleDepth","stomachs_used","pred_life","pred_life_est","pred_age","pred_age_est","pred_flmean","pred_flmean_se","pred_flmean_est","pred_flmin","pred_flmax","pred_flest","est_note","est_ref","pred_life_adjust","rep_ID"
"Clemens&Iselin1963","1963.0","N Pacific","NE Pacific","A",38,-124,"Jul–Sep",1961,"troll, live-bait gear,long-line","surface","not reported","juvenile","Estimated: by meta-analysis","1–3 yo","Estimated: study estimated age",68.4,6.5,"Estimated: by meta-analysis",50,95,"Estimated: by meta-analysis","Synthesis effort estimated FL mean and range, as well as age range and life stage, based N Pacific catch data giving FL range and mean (Clemens et al. 1965) and N Pacific age structure and growth curves (Xu et al. 2014). Clemens & Iselin (1963) reported a probable age range.","Clemens et al. (1963, 1965) catch data; ISC (2006); Xu et al. (2014)","juvenile","Clemens&Iselin1963_11"
"Clemens&Iselin1963","1963.0","N Pacific","NE Pacific","A-B",36.046601,-123.6211254,"Jul–Sep",1961,"troll, live-bait gear,long-line","surface","not reported","juvenile","Estimated: by meta-analysis","1–3 yo","Estimated: study estimated age",68.4,6.5,"Estimated: by meta-analysis",50,95,"Estimated: by meta-analysis","Synthesis effort estimated FL mean and range, as well as age range and life stage, based N Pacific catch data giving FL range and mean (Clemens et al. 1965) and N Pacific age structure and growth curves (Xu et al. 2014). Clemens & Iselin (1963) reported a probable age range.","Clemens et al. (1963, 1965) catch data; ISC (2006); Xu et al. (2014)","juvenile","Clemens&Iselin1963_12"
"Clemens&Iselin1963","1963.0","N Pacific","NE Pacific","A-B-C",32.5,-121.835632,"Jul–Sep",1961,"troll, live-bait gear,long-line","surface","not reported","juvenile","Estimated: by meta-analysis","1–3 yo","Estimated: study estimated age",68.4,6.5,"Estimated: by meta-analysis",50,95,"Estimated: by meta-analysis","Synthesis effort estimated FL mean and range, as well as age range and life stage, based N Pacific catch data giving FL range and mean (Clemens et al. 1965) and N Pacific age structure and growth curves (Xu et al. 2014). Clemens & Iselin (1963) reported a probable age range.","Clemens et al. (1963, 1965) catch data; ISC (2006); Xu et al. (2014)","juvenile","Clemens&Iselin1963_13"
"Clemens&Iselin1963","1963.0","N Pacific","NE Pacific","B",33.5,-121.835632,"Jul–Sep",1961,"troll, live-bait gear,long-line","surface","not reported","juvenile","Estimated: by meta-analysis","1–3 yo","Estimated: study estimated age",68.4,6.5,"Estimated: by meta-analysis",50,95,"Estimated: by meta-analysis","Synthesis effort estimated FL mean and range, as well as age range and life stage, based N Pacific catch data giving FL range and mean (Clemens et al. 1965) and N Pacific age structure and growth curves (Xu et al. 2014). Clemens & Iselin (1963) reported a probable age range.","Clemens et al. (1963, 1965) catch data; ISC (2006); Xu et al. (2014)","juvenile","Clemens&Iselin1963_14"
"Clemens&Iselin1963","1963.0","N Pacific","NE Pacific","B-C",31.5,-119.5,"Jul–Sep",1961,"troll, live-bait gear,long-line","surface","not reported","juvenile","Estimated: by meta-analysis","1–3 yo","Estimated: study estimated age",68.4,6.5,"Estimated: by meta-analysis",50,95,"Estimated: by meta-analysis","Synthesis effort estimated FL mean and range, as well as age range and life stage, based N Pacific catch data giving FL range and mean (Clemens et al. 1965) and N Pacific age structure and growth curves (Xu et al. 2014). Clemens & Iselin (1963) reported a probable age range.","Clemens et al. (1963, 1965) catch data; ISC (2006); Xu et al. (2014)","juvenile","Clemens&Iselin1963_15"
"Clemens&Iselin1963","1963.0","N Pacific","NE Pacific","C",30,-120,"Jul–Sep",1961,"troll, live-bait gear,long-line","surface","not reported","juvenile","Estimated: by meta-analysis","1–3 yo","Estimated: study estimated age",68.4,6.5,"Estimated: by meta-analysis",50,95,"Estimated: by meta-analysis","Synthesis effort estimated FL mean and range, as well as age range and life stage, based N Pacific catch data giving FL range and mean (Clemens et al. 1965) and N Pacific age structure and growth curves (Xu et al. 2014). Clemens & Iselin (1963) reported a probable age range.","Clemens et al. (1963, 1965) catch data; ISC (2006); Xu et al. (2014)","juvenile","Clemens&Iselin1963_16"
"Clemens&Iselin1963","1963.0","N Pacific","NE Pacific","D",26,-115,"Jul–Sep",1961,"troll, live-bait gear,long-line","surface","not reported","juvenile","Estimated: by meta-analysis","1–3 yo","Estimated: study estimated age",68.4,6.5,"Estimated: by meta-analysis",50,95,"Estimated: by meta-analysis","Synthesis effort estimated FL mean and range, as well as age range and life stage, based N Pacific catch data giving FL range and mean (Clemens et al. 1965) and N Pacific age structure and growth curves (Xu et al. 2014). Clemens & Iselin (1963) reported a probable age range.","Clemens et al. (1963, 1965) catch data; ISC (2006); Xu et al. (2014)","juvenile","Clemens&Iselin1963_17"
"Consoli2008","2008.0","Mediterranean","Mediterranean","Central Mediterranean Sea",38.744181,15.059509,"Year-round",2006,"longline, drifting net","surface, >500m","116","juvenile, adult","Estimated: by meta-analysis","1–7 yo","Estimated: by meta-analysis",94.4,NA,"Estimated: by meta-analysis",38.9,102.1,"Measured: study reported","Consoli et al. (2008) reported the FL range, this synthesis effort estimated the FL mean using ICCAT data for the time period and in agreement with the FL range reported, and N Atlantic age structure / growth curves to estimate age range and life stage.","Consoli et al. (2008); ICCAT (2020); Santiago & Arrizabalaga (2005)","mixed","Consoli2008_18"
"DosSantos&Haimovici2002","2002.0","S Atlantic","SW Atlantic","Southern Brazil",-30,-47.035828,"Multi-month",1998,"longline","surface","not reported","juvenile, adult","Estimated: by meta-analysis","4+ yo","Estimated: by meta-analysis",89.9,NA,"Estimated: by meta-analysis",50,130,"Estimated: by meta-analysis","Synthesis effort estimated FL range from 80's data by Chang et al. (1999) for S Atlantic mean using ICCAT (2020) data for 1980's and 'cp estimate', age range and life stage were estimated from N Atlantic population age structure and growth curve (Santiago & Arrizabalaga 2005); these estimates are quite large however longlining is likely to produce the larger fish; no age and growth work were available for the S Atlantic.","Chang et al. (1999); ICCAT (2020); Santiago & Arrizabalaga (2005)","mixed","DosSantos&Haimovici2002_19"
"Glaser2015","2015.0","N Pacific","NE Pacific","Mexico to Canada, northern Baja California to Vancouver Island",42,-128.992307,"Jun–Sep",2006,"troll, pole-line","surface","371","juvenile","Estimated: study estimated life stage","2–4 yo","Estimated: study estimated age",75.6,8.9,"Measured: study reported",54,99,"Measured: study reported","Glaser et al. (2010) measured and reported FL mean and range, age range (2–4 years) and noted that the NE Pacific albacore are typically juveniles; this synthesis checked age range and life stage using N Pacific age / growth curves (Xu et al. 2014); note that Glaser et al. (2010) reported an age estimate of 2–4 years, for the sizes sampled, however note that it would be 2–5+ yo when using North Pacific growth curves (Xu et al. 2014)","Glaser (2010); Xu et al. (2014)","juvenile","Glaser2015_20"
"Goni2011","2011.0","Mediterranean","Mediterranean","Balearic",40.158082,5,"Oct",2005,"longline","0-50m","24","juvenile","Estimated: by meta-analysis","2–3 yo","Estimated: study estimated age",64.4,NA,"Measured: study reported",58.5,83.2,"Measured: study reported","Goni et al. (2011) reported FL mean and range for fish in each general location (here taken as S. Adriatic), and an age range for specific locations (but did not always provide further size data for specific locations); we corroborated with N Atlantic age / growth curves (Santiago & Arrizabalaga 2005) and used to confirm life stage","Goni et al. (2011); Santiago & Arrizabalaga (2005)","juvenile","Goni2011_21"
"Goni2011","2011.0","Mediterranean","Mediterranean","S Adriatic",41.824403,16.766758,"Nov",2006,"longline","0-50m","24","juvenile","Estimated: by meta-analysis","2–3 yo","Estimated: study estimated age",64.4,NA,"Measured: study reported",58.5,83.2,"Measured: study reported","Goni et al. (2011) reported FL mean and range for fish in each general location (here taken as S. Adriatic), and an age range for specific locations (but did not always provide further size data for specific locations); we corroborated with N Atlantic age / growth curves (Santiago & Arrizabalaga 2005) and used to confirm life stage","Goni et al. (2011); Santiago & Arrizabalaga (2005)","juvenile","Goni2011_22"
"Goni2011","2011.0","Mediterranean","Mediterranean","Tyrrhenian",40.658373,11.445351,"Jan",2008,"longline","0-50m","29","juvenile","Estimated: by meta-analysis","3–5+ yo","Estimated: study estimated age",75,NA,"Measured: study reported",58.5,83.2,"Measured: study reported","Goni et al. (2011) reported FL mean and range for fish in each general location (here Tyrrhenian Sea), and an age range for specific locations (but did not always provide further size data for specific locations); we corroborated with N Atlantic age / growth curves (Santiago & Arrizabalaga 2005) and used to confirm life stage","Goni et al. (2011); Santiago & Arrizabalaga (2005)","juvenile","Goni2011_23"
"Goni2011","2011.0","N Atlantic","NE Atlantic","Bay of Biscay (Zone 1)",48,-13,"Jul–Aug",2005,"troll, pole-line","surface","46","juvenile, adult","Estimated: by meta-analysis","1–4 yo","Estimated: study estimated age",63.2,NA,"Measured: study reported",39.6,112,"Measured: study reported","Goni et al. (2011) reported FL mean and range for fish in each general location (Bay of Biscay, 2005 samples), and an age range for specific locations (but did not always provide further size data for specific locations); we corroborated with N Atlantic age / growth curves (Santiago & Arrizabalaga 2005) and used to confirm life stage","Goni et al. (2011); Santiago & Arrizabalaga (2005)","mixed","Goni2011_24"
"Goni2011","2011.0","N Atlantic","NE Atlantic","Bay of Biscay (Zone 2)",47.8,-10,"Aug–Oct",2004,"trawl","0-100m","19","juvenile, adult","Estimated: by meta-analysis","2–5+ yo","Estimated: study estimated age",63.2,NA,"Measured: study reported",39.6,112,"Measured: study reported","Goni et al. (2011) reported FL mean and range for fish in each general location (Bay of Biscay, 2005 samples), and an age range for specific locations (but did not always provide further size data for specific locations); we corroborated with N Atlantic age / growth curves (Santiago & Arrizabalaga 2005) and used to confirm life stage","Goni et al. (2011); Santiago & Arrizabalaga (2005)","mixed","Goni2011_25"
"Goni2011","2011.0","N Atlantic","NE Atlantic","Bay of Biscay (Zone 2)",47.8,-10,"Jul",2005,"troll/ pole-line","surface","14","juvenile, adult","Estimated: by meta-analysis","1–3 yo","Estimated: study estimated age",63.2,NA,"Measured: study reported",39.6,112,"Measured: study reported","Goni et al. (2011) reported FL mean and range for fish in each general location (Bay of Biscay, 2005 samples), and an age range for specific locations (but did not always provide further size data for specific locations); we corroborated with N Atlantic age / growth curves (Santiago & Arrizabalaga 2005) and used to confirm life stage","Goni et al. (2011); Santiago & Arrizabalaga (2005)","mixed","Goni2011_26"
"Goni2011","2011.0","N Atlantic","NE Atlantic","Bay of Biscay (Zone 2)",47.8,-10,"Jul",2006,"troll/ pole-line","surface","39","juvenile, adult","Estimated: by meta-analysis","1–3 yo","Estimated: study estimated age",61.1,NA,"Measured: study reported",39.6,112,"Measured: study reported","Goni et al. (2011) reported FL mean and range for fish in each general location (Bay of Biscay, 2006 samples), and an age range for specific locations (but did not always provide further size data for specific locations); we corroborated with N Atlantic age / growth curves (Santiago & Arrizabalaga 2005) and used to confirm life stage","Goni et al. (2011); Santiago & Arrizabalaga (2005)","mixed","Goni2011_27"
"Goni2011","2011.0","N Atlantic","NE Atlantic","Bay of Biscay (Zone 3)",46.7,-5.6,"Aug",2005,"trawl","0-100m","29","juvenile, adult","Estimated: by meta-analysis","1–3 yo","Estimated: study estimated age",63.2,NA,"Measured: study reported",39.6,112,"Measured: study reported","Goni et al. (2011) reported FL mean and range for fish in each general location (Bay of Biscay, 2005 samples), and an age range for specific locations (but did not always provide further size data for specific locations); we corroborated with N Atlantic age / growth curves (Santiago & Arrizabalaga 2005) and used to confirm life stage","Goni et al. (2011); Santiago & Arrizabalaga (2005)","mixed","Goni2011_28"
"Goni2011","2011.0","N Atlantic","NE Atlantic","Bay of Biscay (Zone 3)",46.7,-5.6,"Sep–Oct",2006,"trawl","0-100m","32","juvenile, adult","Estimated: by meta-analysis","2–4 yo","Estimated: study estimated age",61.1,NA,"Measured: study reported",39.6,112,"Measured: study reported","Goni et al. (2011) reported FL mean and range for fish in each general location (Bay of Biscay, 2006 samples), and an age range for specific locations (but did not always provide further size data for specific locations); we corroborated with N Atlantic age / growth curves (Santiago & Arrizabalaga 2005) and used to confirm life stage","Goni et al. (2011); Santiago & Arrizabalaga (2005)","mixed","Goni2011_29"
"Goni2011","2011.0","N Atlantic","NE Atlantic","Bay of Biscay (Zone 4)",45.4,-3.5,"Jul–Sep",2006,"trawl","0-100m","22","juvenile, adult","Estimated: by meta-analysis","1–4 yo","Estimated: study estimated age",61.1,NA,"Measured: study reported",39.6,112,"Measured: study reported","Goni et al. (2011) reported FL mean and range for fish in each general location (Bay of Biscay, 2006 samples), and an age range for specific locations (but did not always provide further size data for specific locations); we corroborated with N Atlantic age / growth curves (Santiago & Arrizabalaga 2005) and used to confirm life stage","Goni et al. (2011); Santiago & Arrizabalaga (2005)","mixed","Goni2011_30"
"Goni2011","2011.0","N Atlantic","NE Atlantic","Bay of Biscay (Zone 5)",44,-2.7,"Jun–Oct",2005,"pole-line","surface","186","juvenile, adult","Estimated: by meta-analysis","1–5+ yo","Estimated: study estimated age",63.2,NA,"Measured: study reported",39.6,112,"Measured: study reported","Goni et al. (2011) reported FL mean and range for fish in each general location (Bay of Biscay, 2005 samples), and an age range for specific locations (but did not always provide further size data for specific locations); we corroborated with N Atlantic age / growth curves (Santiago & Arrizabalaga 2005) and used to confirm life stage","Goni et al. (2011); Santiago & Arrizabalaga (2005)","mixed","Goni2011_31"
"Goni2011","2011.0","N Atlantic","NE Atlantic","Bay of Biscay (Zone 5)",44,-2.7,"Jun–Oct",2006,"pole-line","surface","58","juvenile, adult","Estimated: by meta-analysis","1–5+ yo","Estimated: study estimated age",61.1,NA,"Measured: study reported",39.6,112,"Measured: study reported","Goni et al. (2011) reported FL mean and range for fish in each general location, and an age range for specific locations (but did not always provide further size data for specific locations); we corroborated with N Atlantic age / growth curves (Santiago & Arrizabalaga 2005) and used to confirm life stage","Goni et al. (2011); Santiago & Arrizabalaga (2005)","mixed","Goni2011_32"
"Goni2011","2011.0","N Atlantic","NE Atlantic","Bay of Biscay (Zone 5)",44,-2.7,"Aug–Oct",2007,"pole-line","surface","31","juvenile, adult","Estimated: by meta-analysis","1–5+ yo","Estimated: study estimated age",61.1,NA,"Measured: study reported",39.6,112,"Measured: study reported","Goni et al. (2011) reported FL mean and range for fish in each general location (Bay of Biscay, 2006 samples in lieu of 2007 values), and an age range for specific locations (but did not always provide further size data for specific locations); we corroborated with N Atlantic age / growth curves (Santiago & Arrizabalaga 2005) and used to confirm life stage","Goni et al. (2011); Santiago & Arrizabalaga (2005)","mixed","Goni2011_33"
"Hart1948","1948.0","N Pacific","NE Pacific","Vancouver Island",49.117928,-127.546089,"NA",1941,"NA","NA","214","juvenile","Estimated: by meta-analysis","2–5+ yo","Estimated: by meta-analysis",68.4,6.5,"Estimated: by meta-analysis",37,105,"Estimated: by meta-analysis","Synthesis effort estimated FL mean and range using historical catch data (ISC 2006), then related that to an age range and life stage using N Pacific age / growth curves (Xu et al. 2014); this was supported by local knowledge that primarily juveniles enter the California Current System (Barb Muhling, pers. comm.).","ISC (2006); Xu et al. (2014)","juvenile","Hart1948_34"
"Hart1948","1948.0","N Pacific","NE Pacific","Washington Coast",47.046499,-124.79124,"NA",1941,"NA","NA","196","juvenile","Estimated: by meta-analysis","2–5+ yo","Estimated: by meta-analysis",68.4,6.5,"Estimated: by meta-analysis",37,105,"Estimated: by meta-analysis","Synthesis effort estimated FL mean and range using historical catch data (ISC 2006), then related that to an age range and life stage using N Pacific age / growth curves (Xu et al. 2014); this was supported by local knowledge that primarily juveniles enter the California Current System (Barb Muhling, pers. comm.).","ISC (2006); Xu et al. (2014)","juvenile","Hart1948_35"
"Hart1948","1948.0","N Pacific","NE Pacific","Washington Coast",47.046499,-124.79124,"NA",1945,"NA","NA","45","juvenile","Estimated: by meta-analysis","2–5+ yo","Estimated: by meta-analysis",68.4,6.5,"Estimated: by meta-analysis",37,105,"Estimated: by meta-analysis","Synthesis effort estimated FL mean and range using historical catch data (ISC 2006), then related that to an age range and life stage using N Pacific age / growth curves (Xu et al. 2014); this was supported by local knowledge that primarily juveniles enter the California Current System (Barb Muhling, pers. comm.).","ISC (2006); Xu et al. (2014)","juvenile","Hart1948_36"
"Hart1948","1948.0","N Pacific","NE Pacific","Vancouver Island",49.117928,-127.546089,"NA",1946,"NA","NA","3","juvenile","Estimated: by meta-analysis","2–5+ yo","Estimated: by meta-analysis",68.4,6.5,"Estimated: by meta-analysis",37,105,"Estimated: by meta-analysis","Synthesis effort estimated FL mean and range using historical catch data (ISC 2006), then related that to an age range and life stage using N Pacific age / growth curves (Xu et al. 2014); this was supported by local knowledge that primarily juveniles enter the California Current System (Barb Muhling, pers. comm.).","ISC (2006); Xu et al. (2014)","juvenile","Hart1948_37"
"Hart1948","1948.0","N Pacific","NE Pacific","Washington Coast",47.046499,-124.79124,"NA",1946,"NA","NA","222","juvenile","Estimated: by meta-analysis","2–5+ yo","Estimated: by meta-analysis",68.4,6.5,"Estimated: by meta-analysis",37,105,"Estimated: by meta-analysis","Synthesis effort estimated FL mean and range using historical catch data (ISC 2006), then related that to an age range and life stage using N Pacific age / growth curves (Xu et al. 2014); this was supported by local knowledge that primarily juveniles enter the California Current System (Barb Muhling, pers. comm.).","ISC (2006); Xu et al. (2014)","juvenile","Hart1948_38"
"Hart1948","1948.0","N Pacific","NE Pacific","Deck Collection Washington Coast",47.046499,-124.79124,"NA",1947,"NA","NA","4","juvenile","Estimated: by meta-analysis","2–5+ yo","Estimated: by meta-analysis",68.4,6.5,"Estimated: by meta-analysis",37,105,"Estimated: by meta-analysis","Synthesis effort estimated FL mean and range using historical catch data (ISC 2006), then related that to an age range and life stage using N Pacific age / growth curves (Xu et al. 2014); this was supported by local knowledge that primarily juveniles enter the California Current System (Barb Muhling, pers. comm.).","ISC (2006); Xu et al. (2014)","juvenile","Hart1948_39"
"Hart1948","1948.0","N Pacific","NE Pacific","Washington Coast",47.046499,-124.79124,"NA",1947,"NA","NA","84","juvenile","Estimated: by meta-analysis","2–5+ yo","Estimated: by meta-analysis",68.4,6.5,"Estimated: by meta-analysis",37,105,"Estimated: by meta-analysis","Synthesis effort estimated FL mean and range using historical catch data (ISC 2006), then related that to an age range and life stage using N Pacific age / growth curves (Xu et al. 2014); this was supported by local knowledge that primarily juveniles enter the California Current System (Barb Muhling, pers. comm.).","ISC (2006); Xu et al. (2014)","juvenile","Hart1948_40"
"Iversen1962","1962.0","N Pacific","NE Pacific","Central NE Pacific",15,-150,"Year-round",1957,"longline, troll, gillnet","surface, subsurface","348","juvenile","Estimated: by meta-analysis","2–4 yo","Estimated: by meta-analysis",67,NA,"Measured: study reported",50,85,"Measured: study reported","Study reported FL mean and range, synthesis effort estimated age range and life stage based on N Pacific age and growth curves (Xu et al. 2014); supported by local knowledge that primarily juveniles enter the California Current System (Barb Muhling, pers. comm.).","Iversen (1962); Xu et al. (2014)","juvenile","Iversen1962_41"
"Jordan1880","1880.0","N Pacific","NE Pacific","Central CA, Santa Barbara Channel",34.345859,-119.723274,"NA",1880,"NA","NA","1","juvenile","Estimated: by meta-analysis","2–5 yo","Estimated: by meta-analysis",68.4,6.5,"Estimated: by meta-analysis",37,105,"Estimated: by meta-analysis","Synthesis estimated FL mean and range based on historical catch data (ISC 2006), although the period reported by ISC is later than 1880 no catch data are currently available before the early to mid 1900's; this synthesis effort estimated age range and life stage based on N Pacific age and growth curves (Xu et al. 2014); supported by local knowledge that primarily juveniles enter the California Current System (Barb Muhling, pers. comm.).","ISC (2006); Xu et al. (2014)","juvenile","Jordan1880_42"
"Joubin1918","1918.0","N Atlantic","NE Atlantic","Golfe de Gascogne",46.307336,-12.25,"NA",1918,"troll","surface","not reported","juvenile, adult","Estimated: by meta-analysis","1–8 yo","Estimated: by meta-analysis",72.9,NA,"Estimated: by meta-analysis",40,110,"Estimated: by meta-analysis","Synthesis effort estimated FL mean and range from a study in a similar location (Mediterranean) (Goni et al. 2011), and corroborated with ICCAT catch data (2020) for the N Atlantic, albeit both sources of information date later than the observed albacore stomach from 1918; this is a proxy for the likely size of that specimen; we then used N Atlantic age / growth curves from Santiago & Arrizabalaga (2005) to provide a likely age and life stage for this sample.","Goni et al. (2011) length values for the Mediterranean; Santiago & Arrizabalaga (2005)","mixed","Joubin1918_43"
"Madigan2015","2015.0","N Pacific","NE Pacific","Mexico to California",34.633208,-124.292542,"Jul–Oct",2010,"troll, pole-line","surface","86","juvenile","Estimated: study estimated and the synthesis effort considered accurate","2–4 yo","Estimated: by meta-analysis",75.6,8.9,"Estimated: by meta-analysis",54,99,"Estimated: by meta-analysis","Madigan et al. (2015) reports an unknown type of length from 66-83 cm, and then in ESM 80-95 cm for FL. This doens't add up, entirely, so we used the reported FL mean and range by Glaser (2010); synthesis effort estimated age range and life stage based on N Pacific age and growth curves (Xu et al. 2014)","Glaser (2010); Xu et al. (2014)","juvenile","Madigan2015_44"
"Matthews1977","1977.0","N Atlantic","NW Atlantic","NW Atlantic",38,-56,"NA",1964,"longline","10-60 m","38","adult","Estimated: by meta-analysis","6–8 yo","Estimated: by meta-analysis",101,NA,"Measured: study reported",96,106,"Measured: study reported","Matthews et al. (1977) measured and reported FL mean and range; this synthesis effort estimated age range and life stage from N Atlantic growth curve (Santiago & Arrizabalaga 2005) and size reported","Matthews et al. (1977); Santiago & Arrizabalaga (2005)","adult","Matthews1977_45"
"McHugh1952","1952.0","N Pacific","NE Pacific","Baja to northern CA",32.5,-121,"Jun & Oct",1949,"troll","surface","301","juvenile","Estimated: by meta-analysis","2–5 yo","Estimated: by meta-analysis",68.4,6.5,"Estimated: by meta-analysis",37,105,"Estimated: by meta-analysis","Synthesis effort estimated FL mean and range using historical catch data (ISC 2006), then related that to an age range and life stage using N Pacific age / growth curves (Xu et al. 2014); this was supported by local knowledge that primarily juveniles enter the California Current System (Barb Muhling, pers. comm.).","ISC (2006); Xu et al. (2014)","juvenile","McHugh1952_46"
