dendlabs,prey_class,prey_order,prey_family,prey_sp,life_stage,vert_habitat,horz_habitat,diel_migrant_cat,season_cat,gregarious,maxFO,maxN,maxM,prob.clust.num
178,Cephalopoda,Octopoda,Tremoctopodidae,Tremoctopus violaceus,juvenile,epipelagic,oceanic,diel (no),season (yes),non-schooling,21.31,7.42,0,3
179,Cephalopoda,Oegopsida,Ancistrocheiridae,Ancistrocheirus lesueurii,juvenile,epipelagic,oceanic,diel (yes),season (yes),schooling,7,0.4,0.5,5
180,Cephalopoda,Oegopsida,Brachioteuthidae,Brachioteuthis riisei,juvenile,mesopelagic,oceanic,diel (yes),season (yes),schooling,29.62962963,0,0,2
181,Cephalopoda,Oegopsida,Chiroteuthidae,Chiroteuthis veranii,juvenile,epipelagic,oceanic,diel (yes),season (no),schooling,36.06,8.69,0,5
182,Cephalopoda,Oegopsida,Chiroteuthidae,Grimalditeuthis bonplandi,juvenile,mesopelagic,oceanic,diel (yes),season (no),schooling,0.5,0,0,2
183,Cephalopoda,Oegopsida,Cranchiidae,Cranchia scabra,juvenile,epipelagic,oceanic,diel (no),season (no),non-schooling,1.1,0.1,0,3
184,Cephalopoda,Oegopsida,Cranchiidae,Galiteuthis armata,juvenile,epipelagic,oceanic,diel (yes),season (no),non-schooling,54.28571429,0,0,5
185,Cephalopoda,Oegopsida,Cranchiidae,Galiteuthis phyllura,juvenile,epipelagic,oceanic,diel (no),season (no),non-schooling,0,0,0,3
186,Cephalopoda,Oegopsida,Cranchiidae,Helicocranchia pfefferi,adult,mesopelagic,oceanic,diel (no),season (no),non-schooling,7.407407407,0,0,1
187,Cephalopoda,Oegopsida,Cranchiidae,Liocranchia reinhardtii,juvenile,epipelagic,oceanic,diel (yes),season (no),non-schooling,1.851851852,0,0,5
188,Cephalopoda,Oegopsida,Cranchiidae,Teuthowenia megalops,juvenile,epipelagic,oceanic,diel (yes),season (no),non-schooling,16.66666667,0.1,0,5
189,Cephalopoda,Oegopsida,Enoploteuthidae,Abralia redfieldi,adult,epipelagic,oceanic,diel (yes),season (yes),schooling,5,0,0,5
190,Cephalopoda,Oegopsida,Enoploteuthidae,Abraliopsis affinis,adult,epipelagic,oceanic,diel (yes),season (no),schooling,1.162790698,0.076511094,0.006092434,5
191,Cephalopoda,Oegopsida,Enoploteuthidae,Abraliopsis felis,adult,epipelagic,oceanic,diel (yes),season (yes),schooling,36.4,11.3,2.132352045,5
192,Cephalopoda,Oegopsida,Enoploteuthidae,Abraliopsis gilchristi,adult,mesopelagic,continental shelf,diel (yes),season (yes),schooling,0.7,0.2,0.1,6
193,Cephalopoda,Oegopsida,Enoploteuthidae,Abraliopsis morisii,adult,mesopelagic,oceanic,diel (yes),season (yes),schooling,4.9,3.4,3.4,2
194,Cephalopoda,Oegopsida,Gonatidae,Berryteuthis anonychus,juvenile,mesopelagic,oceanic,diel (yes),season (yes),schooling,38.5,9,0,2
195,Cephalopoda,Oegopsida,Gonatidae,Gonatopsis borealis,juvenile,mesopelagic,oceanic,diel (yes),season (no),schooling,28.8,15.8,10.8,2
196,Cephalopoda,Oegopsida,Gonatidae,Gonatus berryi,juvenile,mesopelagic,oceanic,diel (yes),season (yes),schooling,1.5,0.1,0.1,2
197,Cephalopoda,Oegopsida,Gonatidae,Gonatus californiensis,juvenile,mesopelagic,oceanic,diel (yes),season (yes),schooling,0,0,0,2
198,Cephalopoda,Oegopsida,Gonatidae,Gonatus onyx,juvenile,mesopelagic,oceanic,diel (yes),season (yes),schooling,1,0,0,2
199,Cephalopoda,Oegopsida,Gonatidae,Gonatus pyros,juvenile,mesopelagic,oceanic,diel (yes),season (yes),schooling,0,0,0.1,2
200,Cephalopoda,Oegopsida,Gonatidae,Gonatus steenstrupi,juvenile,mesopelagic,oceanic,diel (yes),season (yes),schooling,23.5,3.5,0.3,2
201,Cephalopoda,Oegopsida,Histioteuthidae,Histioteuthis bonnellii,juvenile,mesopelagic,oceanic,diel (yes),season (no),schooling,63.2,38.4,0,2
202,Cephalopoda,Oegopsida,Histioteuthidae,Histioteuthis heteropsis,juvenile,mesopelagic,oceanic,diel (yes),season (no),schooling,1.5,0.1,0,2
203,Cephalopoda,Oegopsida,Histioteuthidae,Histioteuthis meleagroteuthis,juvenile,mesopelagic,oceanic,diel (yes),season (no),schooling,0.5,0,0,2
204,Cephalopoda,Oegopsida,Histioteuthidae,Histioteuthis reversa,juvenile,mesopelagic,oceanic,diel (yes),season (no),schooling,28,2.05,0.86,2
205,Cephalopoda,Oegopsida,Histioteuthidae,Stigmatoteuthis dofleini,juvenile,mesopelagic,oceanic,diel (no),season (no),schooling,2.2,0.6,0.5,1
206,Cephalopoda,Oegopsida,Histioteuthidae,Stigmatoteuthis hoylei,juvenile,mesopelagic,oceanic,diel (yes),season (no),schooling,1.6,0.6,1.1,2
207,Cephalopoda,Oegopsida,Lycoteuthidae,Lycoteuthis lorigera,juvenile,mesopelagic,oceanic,diel (yes),season (no),schooling,32.8,17.3,25.8,2
208,Cephalopoda,Oegopsida,Mastigoteuthidae,Mastigoteuthis dentata,juvenile,mesopelagic,oceanic,diel (yes),season (no),non-schooling,22.5,1.8,0.2,2
209,Cephalopoda,Oegopsida,Octopoteuthidae,Octopoteuthis nielseni,juvenile,mesopelagic,oceanic,diel (yes),season (no),non-schooling,0.332225914,0,0,2
210,Cephalopoda,Oegopsida,Octopoteuthidae,Octopoteuthis rugosa,juvenile,mesopelagic,oceanic,diel (yes),season (no),non-schooling,1,0.1,0.2,2
211,Cephalopoda,Oegopsida,Octopoteuthidae,Octopoteuthis sicula,juvenile,mesopelagic,oceanic,diel (yes),season (no),non-schooling,32.7,2.37,0.609243441,2
212,Cephalopoda,Oegopsida,Octopoteuthidae,Taningia danae,juvenile,epipelagic,oceanic,diel (yes),season (no),non-schooling,3.3,0.2,0,5
213,Cephalopoda,Oegopsida,Ocythoidae,Ocythoe tuberculata,juvenile,epipelagic,oceanic,diel (no),season (yes),non-schooling,17.2,0.7,0.6,3
214,Cephalopoda,Oegopsida,Ommastrephidae,Dosidicus gigas,juvenile,mesopelagic,oceanic,diel (yes),season (yes),schooling,1.162790698,0.1,3.350838928,2
215,Cephalopoda,Oegopsida,Ommastrephidae,Eucleoteuthis luminosa,juvenile,epipelagic,oceanic,diel (yes),season (yes),schooling,4.9,1.3,1.9,5
216,Cephalopoda,Oegopsida,Ommastrephidae,Hyaloteuthis pelagica,juvenile,epipelagic,oceanic,diel (yes),season (no),schooling,2.9,0,0.5,5
217,Cephalopoda,Oegopsida,Ommastrephidae,Illex argentinus,juvenile,epipelagic,continental shelf,diel (yes),season (yes),schooling,12,0,0,6
218,Cephalopoda,Oegopsida,Ommastrephidae,Illex coindetii,juvenile,epipelagic,continental shelf,diel (yes),season (yes),schooling,10.3,2.13,3.3,6
219,Cephalopoda,Oegopsida,Ommastrephidae,Ommastrephes bartramii,juvenile,epipelagic,oceanic,diel (yes),season (yes),schooling,5,1.6,6.2,5
220,Cephalopoda,Oegopsida,Ommastrephidae,Ornithoteuthis antillarum,juvenile,mesopelagic,continental shelf,diel (yes),season (no),schooling,12,0,0,7
221,Cephalopoda,Oegopsida,Ommastrephidae,Ornithoteuthis volatilis,juvenile,mesopelagic,continental shelf,diel (yes),season (yes),schooling,20.7,3.3,2.8,6
222,Cephalopoda,Oegopsida,Ommastrephidae,Sthenoteuthis oualaniensis,juvenile,mesopelagic,oceanic,diel (no),season (yes),schooling,17.9,7,8.5,1
223,Cephalopoda,Oegopsida,Ommastrephidae,Todarodes pacificus,juvenile,demersal,continental shelf,diel (yes),season (yes),schooling,1.5,0.2,0.4,6
224,Cephalopoda,Oegopsida,Ommastrephidae,Todarodes sagittatus,juvenile,demersal,continental shelf,diel (yes),season (yes),schooling,73.7,39.5,0.3,6
225,Cephalopoda,Oegopsida,Ommastrephidae,Todaropsis eblanae,juvenile,demersal,continental shelf,diel (yes),season (yes),schooling,2.777777778,0,13.64,6
226,Cephalopoda,Oegopsida,Onychoteuthidae,Ancistroteuthis lichtensteinii,juvenile,demersal,continental shelf,diel (yes),season (yes),schooling,33,4.9,0.71,6
227,Cephalopoda,Oegopsida,Onychoteuthidae,Onychoteuthis banksii,juvenile,epipelagic,oceanic,diel (yes),season (yes),schooling,83.33333333,12.32,5.5,5
228,Cephalopoda,Oegopsida,Onychoteuthidae,Onychoteuthis borealijaponica,juvenile,epipelagic,oceanic,diel (yes),season (yes),schooling,58.5,13.4,3.3,5
229,Cephalopoda,Oegopsida,Onychoteuthidae,Onykia loennbergii,juvenile,mesopelagic,continental shelf,diel (yes),season (yes),non-schooling,0.5,0,0.3,6
230,Cephalopoda,Oegopsida,Onychoteuthidae,Onykia robusta,juvenile,mesopelagic,continental shelf,diel (yes),season (yes),non-schooling,6,0.5,0.3,6
231,Cephalopoda,Oegopsida,Onychoteuthidae,Walvisteuthis rancureli,juvenile,mesopelagic,oceanic,diel (yes),season (yes),schooling,26.6,8.6,11.3,2
232,Cephalopoda,Oegopsida,Pyroteuthidae,Pterygioteuthis giardi,adult,mesopelagic,oceanic,diel (yes),season (yes),schooling,1.63,0.16,0,2
233,Cephalopoda,Oegopsida,Pyroteuthidae,Pterygioteuthis microlampas,juvenile,mesopelagic,oceanic,diel (yes),season (yes),schooling,0.332225914,0,0,2
234,Cephalopoda,Oegopsida,Pyroteuthidae,Pyroteuthis margaritifera,adult,mesopelagic,oceanic,diel (yes),season (no),schooling,1.63,0.16,0,2
235,Cephalopoda,Oegopsida,Thysanoteuthidae,Thysanoteuthis rhombus,juvenile,epipelagic,oceanic,diel (no),season (yes),non-schooling,1.6,0,0.6,3
236,Cephalopoda,Sepiida,Sepiolidae,Heteroteuthis dispar,adult,mesopelagic,continental shelf,diel (yes),season (no),non-schooling,66,88.2,3.68,7
237,Cephalopoda,Sepiida,Sepiolidae,Sepietta oweniana,adult,demersal,continental shelf,diel (yes),season (yes),schooling,2.857142857,0,0,6
238,Cephalopoda,Spirulida,Spirulidae,Spirula spirula,adult,mesopelagic,continental shelf,diel (yes),season (no),schooling,0.7,0.1,0,7
239,Cephalopoda,Vampyromorpha,Vampyroteuthidae,Vampyroteuthis infernalis,juvenile,mesopelagic,oceanic,diel (yes),season (no),non-schooling,0.5,0.1,0,2
240,Gastropoda,Caenogastropoda,Epitoniodea,Janthina exigua,adult,epipelagic,oceanic,diel (no),season (no),non-schooling,5.714285714,0,0,3
241,Gastropoda,Littorinimorpha,Atlantidae,Atlanta peronii,adult,epipelagic,oceanic,diel (yes),season (no),non-schooling,1.851851852,0,0,5
242,Gastropoda,Littorinimorpha,Carinariidae,Carinaria lamarckii,adult,epipelagic,oceanic,diel (yes),season (yes),non-schooling,34.28571429,0,0,5
243,Gastropoda,Pteropoda,Cavoliniidae,Cavolinia tridentata,adult,epipelagic,oceanic,diel (yes),season (yes),schooling,10,0,0.1,5
244,Gastropoda,Pteropoda,Cliidae,Clio pyramidata,adult,epipelagic,oceanic,diel (yes),season (yes),schooling,11.11111111,0,0,5
245,Hexanauplia,Calanoida,Calanidae,Calanus finmarchicus,adult,epipelagic,oceanic,diel (yes),season (yes),schooling,3.703703704,0,0,5
246,Hydrozoa,Siphonophorae,Diphyidae,Chelophyes appendiculata,adult,epipelagic,continental shelf,diel (yes),season (yes),schooling,16,0,0,6
247,Malacostraca,Amphipoda,Brachyscelidae,Brachyscelus crusculum,adult,epipelagic,continental shelf,diel (yes),season (no),schooling,92.59259259,6.2,2.2,7
248,Malacostraca,Amphipoda,Cyphocarididae,Cyphocaris faurei,adult,mesopelagic,continental shelf,diel (yes),season (no),schooling,1.6,0.1,0,7
249,Malacostraca,Amphipoda,Eupronoidae,Parapronoe crustulum,adult,epipelagic,continental shelf,diel (yes),season (no),schooling,1.5,0.2,0.1,7
250,Malacostraca,Amphipoda,Hyperiidae,Hyperia galba,adult,epipelagic,oceanic,diel (yes),season (yes),schooling,5.714285714,0,0,5
251,Malacostraca,Amphipoda,Hyperiidae,Themisto gaudichaudii,adult,epipelagic,oceanic,diel (yes),season (yes),schooling,54.3,5.1,27.3,5
252,Malacostraca,Amphipoda,Lanceolidae,Lanceola sayana,adult,mesopelagic,oceanic,diel (yes),season (no),schooling,1.851851852,0,0,2
253,Malacostraca,Amphipoda,Oxyccephalidae,Leptocotis tenuirostris,adult,epipelagic,oceanic,diel (yes),season (yes),schooling,2.1,0.1,0.1,5
254,Malacostraca,Amphipoda,Oxyccephalidae,Streetsia challengeri,adult,epipelagic,continental shelf,diel (yes),season (yes),schooling,40,0.19,0.05,6
255,Malacostraca,Amphipoda,Phrosinidae,Anchylomera blossevillei,adult,epipelagic,continental shelf,diel (yes),season (yes),schooling,4.2,1.65,3.3,6
256,Malacostraca,Amphipoda,Phrosinidae,Phrosina semilunata,adult,epipelagic,continental shelf,diel (yes),season (yes),schooling,65,4.2,6.5,6
257,Malacostraca,Amphipoda,Phrosinidae,Primno macropa,adult,epipelagic,oceanic,diel (yes),season (no),schooling,2.857142857,0.49,0.24,5
258,Malacostraca,Amphipoda,Platyscelidae,Platyscelus armatus,adult,epipelagic,continental shelf,diel (yes),season (no),schooling,0,0,0,7
259,Malacostraca,Amphipoda,Platyscelidae,Platyscelus ovoides,adult,epipelagic,continental shelf,diel (yes),season (no),schooling,9.259259259,1.1,1.3,7
260,Malacostraca,Amphipoda,Platyscelidae,Platyscelus serratulus,adult,epipelagic,continental shelf,diel (yes),season (yes),schooling,1.851851852,0.06,0.08,6
261,Malacostraca,Amphipoda,Vibiliidae,Vibilia gibbosa,adult,epipelagic,continental shelf,diel (yes),season (yes),schooling,0.862068966,0.24,0.05,6
262,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra pelagica,adult,mesopelagic,oceanic,diel (yes),season (yes),schooling,38.88888889,0,0,2
263,Malacostraca,Decapoda,Alpheidae,Alpheus glaber,larva,epipelagic,coastal,diel (yes),season (no),schooling,11.11111111,0,0,7
264,Malacostraca,Decapoda,Axiidae,Axius stirhynchus,juvenile,epipelagic,coastal,diel (yes),season (yes),schooling,4,0,0,5
265,Malacostraca,Decapoda,Benthesicymidae,Gennadas elegans,juvenile,demersal,continental shelf,diel (yes),season (no),schooling,4,0,0,7
266,Malacostraca,Decapoda,Munididae,Pleuroncodes planipes,juvenile,epipelagic,continental shelf,diel (yes),season (yes),schooling,27.75,1.3,23.3,6
267,Malacostraca,Decapoda,Oplophoroidae,Janicella spinicauda,adult,mesopelagic,continental shelf,diel (yes),season (no),schooling,2.2,0.5,0.1,7
268,Malacostraca,Decapoda,Oplophoroidae,Oplophorus typus,adult,mesopelagic,continental shelf,diel (yes),season (no),schooling,3.2,0.5,0.3,7
269,Malacostraca,Decapoda,Oplophpridae,Systellaspis debilis,adult,mesopelagic,oceanic,diel (yes),season (yes),schooling,8,0,0,2
270,Malacostraca,Decapoda,Palinuridae,Palinurus mauritanicus,larva,epipelagic,continental shelf,diel (yes),season (yes),schooling,8,0,0,6
271,Malacostraca,Decapoda,Pandalidae,Heterocarpus laevigatus,juvenile,demersal,continental shelf,diel (yes),season (yes),schooling,3.2,0.3,0.1,6
272,Malacostraca,Decapoda,Pasiphaeidae,Parapasiphae sulcatifrons,adult,mesopelagic,oceanic,diel (yes),season (no),schooling,4,0,0,2
273,Malacostraca,Decapoda,Penaeidae,Funchalia taaningi,adult,mesopelagic,continental shelf,diel (yes),season (no),schooling,1.6,0.2,0.3,7
274,Malacostraca,Decapoda,Penaeidae,Funchalia woodwardi,adult,mesopelagic,continental shelf,diel (yes),season (no),schooling,0.7,0.1,0.1,7
275,Malacostraca,Decapoda,Polybiidae,Polybius henslowii,larva,epipelagic,continental shelf,diel (no),season (no),schooling,51.42857143,0,1,3
276,Malacostraca,Decapoda,Scyllaridae,Parribacus antarcticus,larva,epipelagic,coastal,diel (yes),season (no),schooling,0.5,0.1,0,7
277,Malacostraca,Decapoda,Scyllaridae,Scyllarus arctus,larva,epipelagic,coastal,diel (yes),season (yes),schooling,20.7,0,4.1,5
278,Malacostraca,Decapoda,Sergestidae,Eusergestes arcticus,adult,demersal,continental shelf,diel (yes),season (yes),schooling,52,0,0,6
279,Malacostraca,Decapoda,Sergestidae,Eusergestes similis,adult,epipelagic,oceanic,diel (yes),season (yes),schooling,45,76.5,0,5
280,Malacostraca,Decapoda,Sergestidae,Robustosergia robusta,adult,mesopelagic,oceanic,diel (yes),season (yes),schooling,2.857142857,0,0,2
281,Malacostraca,Euphausiacea,Euphausiidae,Euphausia pacifica,adult,epipelagic,oceanic,diel (yes),season (yes),schooling,38.9,43.1,0,5
282,Malacostraca,Euphausiacea,Euphausiidae,Meganyctiphanes norvegica,adult,epipelagic,continental shelf,diel (yes),season (yes),schooling,89.7,7.3,84.3,6
283,Malacostraca,Euphausiacea,Euphausiidae,Nematoscelis megalops,adult,epipelagic,continental shelf,diel (yes),season (yes),schooling,80,0.61,4.2,6
284,Malacostraca,Euphausiacea,Euphausiidae,Nyctiphanes australis,adult,epipelagic,coastal,diel (yes),season (yes),schooling,27.9,0,20.4,5
285,Malacostraca,Euphausiacea,Euphausiidae,Stylocheiron abbreviatum,adult,epipelagic,coastal,diel (no),season (yes),schooling,16.66666667,0,0,3
286,Malacostraca,Isopoda,Idoteidae,Idotea metallica,adult,epipelagic,continental shelf,diel (no),season (yes),schooling,3.703703704,0,0,3
287,Malacostraca,Lophogastrida,Gnathophausiidae,Neognathophausia gigas,adult,mesopelagic,oceanic,diel (yes),season (no),schooling,0.7,0.1,0,2
288,Malacostraca,Lophogastrida,Gnathophausiidae,Neognathophausia ingens,juvenile,mesopelagic,oceanic,diel (yes),season (no),schooling,11.11111111,0,0,2
289,Malacostraca,Stomatopoda,Lysiosquillidae,Lysiosquilla tredecimdentata,juvenile,epipelagic,coastal,diel (yes),season (no),schooling,7.9,0.9,0.7,7
290,Malacostraca,Stomatopoda,Odontodacylidae,Odontodactylus scyllarus,juvenile,epipelagic,continental shelf,diel (yes),season (no),schooling,27,5.1,2.4,7
291,Thaliacea,Salpida,Salpidae,Salpa maxima,adult,epipelagic,oceanic,diel (yes),season (yes),schooling,4.8,1.9,1.3,5
292,Thaliacea,Salpida,Salpidae,Soestia zonaria,adult,epipelagic,coastal,diel (yes),season (yes),schooling,8.571428571,0,0,5
